卦番号,卦の名前,読み,キーワード,資質,性格,能力,傾向（くせ）,長所,短所,対人関係,適職,開運アドバイス
1,乾為天,けんいてん,創造とリーダーシップ,純粋な創造エネルギー、無限の可能性、リーダーシップ、理想主義,積極的、エネルギッシュ、プライドが高い、自己中心的、正義感が強い,統率力、開拓力、指導力、無から有を生み出す力,独断専行になりがち、他人の意見を聞かない、傲慢に見られる,強力なリーダーシップで周囲を牽引する、行動力がある,協調性に欠ける、やり過ぎて失敗することがある,常に中心人物、指導者であろうとする。頼られるが、敵も作りやすい。,経営者、起業家、政治家、プロジェクトリーダー、指導的立場,謙虚さを忘れず、周囲への感謝と調和を心がけること。「亢龍悔いあり」とならないよう、引き際をわきまえる。
2,坤為地,こんいち,受容と母性,純粋な受容エネルギー、母性、育成力、現実的な安定感,穏やか、従順、勤勉、受動的、包容力がある、縁の下の力持ち,サポート能力、育成能力、調整能力、持続力,優柔不断、指示待ちになりがち、自分の意見を言わない,人を支え、育む力がある。地道な努力を継続できる。,自発性に欠ける、決断が遅い、人に利用されやすい,補佐役、聞き役として信頼される。誰にでも優しく接する。,秘書、保育士、カウンセラー、総務・人事、看護師,自らの意思を持ち、主体的に行動することも大切。従うべき相手（リーダー）を正しく選ぶ。
3,水雷屯,すいらいちゅん,生みの苦しみと潜在能力,潜在能力、忍耐力、困難を乗り越える力,悩みやすい、慎重、粘り強い、内向的、苦労性,状況分析能力、忍耐力、将来のための土台を作る力,すぐに行動に移せない、思い悩む、チャンスを逃しがち,苦しい状況でも耐え抜く精神力がある、将来性が高い。,行動が遅い、悲観的になりやすい,助けを求めるのが苦手。信頼できる協力者を得ることが成功の鍵。,研究者、開発者、コンサルタント、苦境にある組織の再建役、産婦人科医,焦りは禁物。今は苦しくても、協力者を得て、時が来るのを待つこと。
4,山水蒙,さんすいもう,啓蒙と無知,素直さ、純粋さ、学ぶ意欲、未知の可能性,未熟、子供っぽい、無邪気、教えを請うことに抵抗がない,吸収力、学習能力、素直に物事を受け入れる力,自分で考えない、人に頼りすぎる、同じことを何度も聞く,スポンジのように知識を吸収する、師から可愛がられる。,判断力に欠ける、騙されやすい、自立心がない。,師となる存在を見つけることが重要。教える側・教えられる側の関係を築きやすい。,学生、弟子、研修生、新人。または教育者（教える側の視点）。,素直な心で師を求め、教えを請うこと。一度決めた師を信じ、繰り返し問いただすようなことはしない。
5,水天需,すいてんじゅ,待機と希望,待つ力、忍耐力、楽観性、時流を読む力,どっしりしている、焦らない、いずれ良くなると信じている,時が来るのを待つ能力、状況を見極める力,のんびりし過ぎて、行動が遅れる,危険な時には動かず、好機をじっと待つことができる,ただ待っているだけで、行動を起こさないことがある,慌てず騒がず、人に安心感を与える。約束は必ず守る。,投資家、農耕・漁業関係、戦略家、長期プロジェクトの担当者,ただ待つのではなく、飲食や宴会で英気を養いながら、情報収集を怠らず、来るべき時に備えること。
6,天水訟,てんすいしょう,争いと訴訟,正義感、論理的思考、交渉力,理屈っぽい、負けず嫌い、争いごとを好む、正義感が強い,議論や交渉で相手を説得する能力、論理的に主張を組み立てる力,些細なことで争いを起こす、妥協ができない,正当な権利を主張し、守ることができる。,常に争いが絶えず、人間関係を損なう。,対立や口論が絶えない。敵を作りやすい。,弁護士、検事、評論家、ディベーター,争いは避けるに越したことはない。事を大きくせず、信頼できる仲介者に相談するのが良い。
7,地水師,ちすいし,戦争と大衆統率,統率力、大衆を率いる力、自己犠牲の精神、戦略性,厳格、規律を重んじる、目的意識が強い、大衆心理を読む,組織統率能力、戦略立案能力、人を動かす力,目的のためには手段を選ばない、非情になりがち,困難な目標に向かって、組織を一つにまとめられる。,独裁的になる危険性、人情味に欠けると思われることがある。,将軍と兵士のような関係。信頼と規律で結ばれるが、個人的な親密さには欠ける。,軍人、警察官、経営者、政治家、監督、プロジェクトマネージャー,私心を捨て、大義のために行動すること。人々の信頼を得られる徳の高い人物をリーダーに据えることが成功の鍵。
8,水地比,すいちひ,親和と補佐,親しみやすさ、協調性、補佐する力、求心力,社交的、情が深い、誰とでも仲良くなれる、リーダーを支える,人と親しみ、協力関係を築く能力、優れたリーダーを補佐する力,なれ合いになりやすい、決断力に欠ける,中心人物を助け、組織の和を保つことで、成功に貢献する。,リーダー選びを間違えると、共に不幸になる。,水が大地に染み込むように、自然と人と親しくなれる。中心人物の周りに人が集まる。,秘書、マネージャー、ナンバー２、カウンセラー、チームの一員,親しくする相手をよく見極めること。遅れて来た者は受け入れられないこともあるので、タイミングが重要。
9,風天小畜,ふうてんしょうちく,小さな障害と育成,粘り強さ、育成能力、細やかな配慮、準備する力,控えめ、真面目、コツコツ努力する、少し頼りない印象,準備を重ねる能力、人を育てる力、逆境に耐える力,大きなチャンスを前にすると、ためらってしまう,実現のために、地道な努力を続けることができる,力不足で、物事が中途半端に終わりがち,献身的に人を支えるが、主導権は握れない。縁の下の力持ちタイプ。,教師、コーチ、秘書、サポート役、研究開発の補助,まだ力不足。焦らず、実力を養うことに専念する。無理に進もうとしないこと。
10,天沢履,てんたくり,礼儀と実践,礼儀正しさ、慎重さ、実践力、危機管理能力,謙虚、真面目、目上を敬う、慎重に行動する,危険を回避する能力、着実に物事を進める力、マナーの実践,臆病、堅苦しい、融通が利かない,礼儀正しく、目上の人から可愛がられる。危険を未然に防ぐ。,チャンスを逃しやすい、窮屈な印象を与える,上下関係を重んじ、礼儀を尽くす。強い相手にもうまく従う。,秘書、補佐役、公務員、伝統芸能の世界,虎の尾を踏むような危険な状況。礼儀と慎重さを忘れず、謙虚な姿勢を貫くこと。
11,地天泰,ちてんたい,平和と安定,安定感、調和、コミュニケーション能力、平和を愛する心,穏やか、社交的、誰とでもうまくやれる、包容力がある,調整能力、人をつなぐ力、平和な状態を維持する力,事なかれ主義、決断力に欠けることがある,人と人との間を取り持ち、円満な関係を築ける,対立を恐れるあまり、言うべきことを言えないことがある,誰からも好かれる人気者。コミュニケーションの中心となり、場を和ませる。,人事、カウンセラー、外交官、接客業、調整役,平和な時こそ、将来の混乱に備えること。小さな乱れを見逃さないようにする。
12,天地否,てんちひ,停滞と断絶,忍耐力、内省する力、逆境への耐性,内向的、非社交的、頑固、人を寄せ付けない雰囲気,孤独の中で自分を磨く能力、状況を冷静に分析する力,塞ぎ込みがち、コミュニケーションを避ける,困難な状況でも、自分の内面を見つめ、精神的に成長できる,孤立しやすく、チャンスを逃す,人との交流がうまくいかない。誤解されやすく、孤立しがち。,専門職、職人、研究者など、一人で黙々と取り組む仕事,今は何もしても通じない冬の時代。無理に動かず、自分の内面を充実させることに集中する。
13,天火同人,てんかどうじん,同志と協調,協調性、公平無私、友愛の精神、オープンマインド,社交的、誰とでも分け隔てなく接する、オープンな性格,人々をまとめる力、共通の目的のために協力する力,八方美人、身内への配慮に欠けることがある,公平な立場で人と接し、多くの仲間や協力者を得られる,特定の人との深い関係を築くのが苦手なことがある,公の場で多くの人と協力関係を築く。派閥や身内意識を嫌う。,国際的な仕事、NPO・NGO活動、プロジェクトリーダー、組合のまとめ役,私心を捨て、公の目的のために人と協力すること。隠し事はせず、オープンな姿勢を貫く。
14,火天大有,かてんたいゆう,所有と豊かさ,所有する力、豊かさ、人徳、人を引きつける魅力,明るく、寛大、おおらか、多くの人に慕われる,人をまとめる力、富を築く能力、管理能力,おごりやすい、自分の所有物を自慢しがち,人望があり、自然と人や富が集まってくる,慢心から足元をすくわれることがある,中心の太陽のように人を引きつけ、多くの人から慕われる。気前が良い。,組織のトップ、資産家、プロデューサー、人望のいる仕事全般,富や人望は天から与えられたものと考え、驕らず、社会に還元する気持ちを持つこと。
15,地山謙,ちざんけん,謙虚と人徳,謙虚さ、人徳、有能さ、バランス感覚,腰が低い、実力があるのにひけらかさない、誰からも好かれる,人をまとめる能力、実務能力、自分を律する力,自分を卑下しすぎることがある,謙虚な姿勢によって、誰からも助けられ、物事を最後までやり遂げられる。,能力があるのに、リーダーシップを取りたがらないことがある。,敵を作らず、全ての人と円満な関係を築くことができる。,どんな職業でも成功できるが、特に人の上に立つ調整役やリーダーに向く。,常に謙虚な気持ちを持ち続けること。実力があっても、決して驕らない。
16,雷地豫,らいちよ,準備と享楽,準備する力、先見性、楽しむ力、人を動かす力,用意周到、楽観的、音楽や楽しいことが好き、人を喜ばせるのが好き,人々を動員する能力、周到に準備する能力,楽しみに溺れやすい、油断しやすい,事前の準備をしっかり行い、人々を喜ばせ、成功を収める。,快楽にふけり、本来の目的を見失うことがある。,ムードメーカーで、周囲を楽しませる。信頼できる補佐役を置くことで成功する。,音楽家、エンターテイナー、イベント企画、レジャー産業,楽しむことは良いが、それに溺れないこと。備えあれば憂いなし。決断は早めに行う。
17,沢雷随,たくらいずい,追従と時流,柔軟性、順応性、時流に乗る力、人から好かれる,素直、社交的、人に合わせるのが上手、軽率な面も,人に従い、信頼を得る能力、時代の流れを読む力,付和雷同、自分の意見がない、安易に流される,誰にでも合わせられ、可愛がられる。時流に乗って成功できる。,主体性がなく、悪人にもついて行ってしまう危険性がある。,人に逆らわず、うまく付き合う。人気者だが、八方美人に見られがち。,秘書、部下、サラリーマン、接客業、流行を追う仕事,誰に、何に従うのかをしっかり見極めること。信念を持って従うことが大切。
18,山風蠱,さんぷうこ,腐敗と刷新,改革する力、問題解決能力、後始末する力、タフさ,責任感が強い、困難に立ち向かう、厳しい、物事を根本から立て直したい,腐敗した組織や状況を立て直す能力、原因を追求する力,厳しくなりすぎる、過去の問題にこだわりすぎる,誰もが嫌がる後始末を引き受け、状況を改善できる。,恨みを買いやすい、常に問題を探してしまう。,親や先代が残した問題の処理に追われる。厳しい態度が誤解されやすい。,経営再建コンサルタント、監査役、政治家、弁護士,腐敗の原因をしっかり見極め、大胆かつ慎重に改革を進めること。感情的にならない。
19,地沢臨,ちたくりん,臨機応変と統率,統率力、面倒見の良さ、臨機応変さ、人気,明るく、おおらか、親分肌・姉御肌、人を育てるのが好き,人をまとめて率いる能力、状況に応じて対応する力、指導力,おせっかい、相手を甘やかしすぎる,人々から慕われ、リーダーシップを発揮する,油断しやすい、下の者の失敗の責任を取らされる,人気者で、自然と人が集まってくる。面倒見がよく頼られる。,リーダー、管理職、教師、プロデューサー、政治家,人気や権力に溺れず、常に謙虚な姿勢でいること。将来の危機に備えることを忘れない。
20,風地観,ふうちかん,観察と洞察,洞察力、観察力、人徳、影響力,静か、思慮深い、物事の本質を見抜く、精神性が高い,深い洞察力で人々を導く能力、状況を静観し分析する力,評論家になりがち、行動が伴わない,物事の表面に惑わされず、本質を見抜いて人々を導くことができる。,実践力に欠けることがある、机上の空論で終わりやすい。,徳の高さから、自然と人々が教えを請いに集まってくる。尊敬される指導者。,宗教家、哲学者、コンサルタント、教育者、政治顧問,表面的な観察だけでなく、その背後にある人々の心や精神性まで見つめること。
21,火雷噬嗑,からいぜいごう,障害除去と決断,決断力、障害を打ち破る力、正義感,歯に衣着せぬ、情熱的、正義感が強い、怒りっぽい,問題解決能力、交渉力、断固たる処置をとる力,強引、口やかましい、敵を作りやすい,間に挟まった障害物を取り除き、物事を前進させることができる,やり方が荒っぽく、反感を買うことが多い,議論好きで、相手を言い負かそうとする。白黒つけたがる。,弁護士、検事、警察官、社内監査役、交渉人,障害を取り除く際は、公正な手続きを踏むこと。刑罰や処罰は慎重に行う必要がある。
22,山火賁,さんかひ,装飾と美,美的センス、装飾する才能、芸術性、表現力,おしゃれ、外面を気にする、優雅、見栄っ張り,デザイン能力、プレゼンテーション能力、美しく見せる力,実質よりも見た目を重視する、中身が伴わない,物事を美しく飾り、人の目を楽しませることができる,本質的な問題から目をそらしがち、虚飾に陥りやすい,見た目や雰囲気で人を判断しがち。付き合いは華やかだが、表面的。,デザイナー、スタイリスト、広報、広告、芸術家、インテリアコーディネーター,外見の美しさだけでなく、内面の実質を伴わせることが大切。本質を見失わないように。
23,山地剥,さんちはく,剥落と崩壊,危機察知能力、現状維持への執着（悪い意味で）,保守的、現状にしがみつく、衰運にある,（良い能力はない）,悪い状況から目をそむける、根本的な対策を怠る,（ない）,全てを失う危険性がある。,小人（よこしまな人）が得意になり、君子（徳のある人）が追いやられる。人間関係が崩壊する。,（良い職はない）リストラされる側、倒産する会社の社員,今は何もしても無駄。大きな行動は慎み、嵐が過ぎ去るのを待つこと。再起の時を待つしかない。
24,地雷復,ちらいふく,再起と回復,回復力、再起する力、物事の始まりを見出す力、探究心,前向き、失敗を恐れない、素直、根本に戻って考える,失敗から立ち直る力、物事を一からやり直す力,同じ過ちを繰り返すことがある,どんな状況からでも、希望を見出し、再スタートできる。,完全に回復する前に焦って動き、再び失敗することがある。,友情を大切にする。一度離れた人とも、自然と関係が回復する。,ベンチャー企業の再建、リハビリ関係、研究者、季節性の仕事,焦らず、じっくりと力を蓄えること。道に迷ったら、原点に立ち返ることが大切。
25,天雷无妄,てんらいむぼう,自然体と無心,純粋さ、誠実さ、自然体、私欲のなさ,天真爛漫、正直、裏表がない、自然のまま,自然の流れに沿って物事を成す力,無邪気すぎて、現実的な計算ができない、無防備,私心がないため、天の助けを得て、思わぬ成功を収める。,予期せぬ災難に遭いやすい、無策で失敗する。,純粋で正直なため、人から好かれるが、悪意に気づかず傷つくことも。,農業、自然に関わる仕事、聖職者、ボランティア,下心や邪念を持たず、自然の成り行きに任せること。無理に行動すると災いを招く。
26,山天大畜,さんてんだいちく,蓄積と抑制,蓄える力、抑制力、ポテンシャル、高い見識,どっしりと構えている、思慮深い、忍耐強い、内面に大きなエネルギーを秘めている,知識や才能を蓄積する能力、自己コントロール能力、大局を見る力,表に出さないため、何を考えているか分かりにくい,長い時間をかけて大きなことを成し遂げる、動じない安定感がある,行動に移るのが遅い、チャンスを逃すことがある,尊敬されるが、少し距離を置かれる存在。よき師、よき上司となる。,学者、研究者、教育者、大企業の幹部、思想家,知識や力を蓄えるだけでなく、社会のために活かす時を見極めること。
27,山雷頤,さんらいい,養育と自己管理,育てる力、自己管理能力、言語感覚、探究心,おっとりしている、自分のペースを大事にする、食いしん坊、言葉を慎む,人や物を育てる能力、健康管理能力、言語能力,口は災いのもと、怠けやすい、口出しをしすぎる,人や自分を正しく養い、着実に成長させることができる。,言葉で失敗しやすい、欲望に溺れやすい。,口が災いしてトラブルになることも。聞き役に徹するとうまくいく。人を育てるのが上手。,栄養士、教師、保育士、言語聴覚士、農業、コメンテーター,口に入れるもの（食事）と口から出すもの（言葉）を慎むこと。自立し、正しく自分を養う。
28,沢風大過,たくふうたいか,過剰と非常事態,非常時の行動力、大胆さ、常識を超えた力,型破り、大胆不敵、やりすぎてしまう、責任感が強い,困難な状況を一人で乗り切る力、非常時のリーダーシップ,無茶をする、常識を無視する、バランスを欠く,誰もが諦めるような状況で、驚くべき力を発揮する。,平常時には浮いてしまう、やり過ぎて自滅する。,孤立無援で奮闘する。理解されにくいが、その行動力に救われる人もいる。,危機管理コンサルタント、特殊部隊、トラブルシューター、倒産整理人,非常事態であると覚悟を決めること。一人で抱え込まず、協力者を求めることも考える。
29,坎為水,かんいすい,困難と習熟,忍耐力、精神的な強さ、探究心、習熟する力,苦労性、内省的、悩みやすい、粘り強い、真理を求める,困難な状況を乗り越える力、専門性を深める能力,物事を深刻に考えすぎる、一つのことに囚われる,苦難を通じて精神的に成長し、物事を習得できる。,悲観的になりやすい、視野が狭くなる。,悩みを分かち合える深い関係を求める。表面的な付き合いは苦手。,研究者、学者、技術者、カウンセラー、宗教家、探偵,困難の中にこそ学びがある。誠意を持って行動し続ければ、必ず道は開ける。
30,離為火,りいか,知性と情熱,知性、情熱、美的なセンス、洞察力,明るく華やか、感情の起伏が激しい、知的、プライドが高い,分析力、芸術的表現力、物事を明らかにする力,見栄っ張り、熱しやすく冷めやすい、感情的になる,知性と情熱を兼ね備え、人を魅了する。美的センスに優れる。,依存心が強く、一人ではいられない。感情のコントロールが苦手。,華やかで目立つ存在。人との関わりを求めるが、べったりした関係になりやすい。,学者、アーティスト、デザイナー、評論家、俳優,感情の波に乗りこなし、冷静な知性を保つこと。自立心を持ち、柔順な心でいることが大切。
31,沢山咸,たくざんかん,感応と恋愛,感受性、共感力、人を惹きつける魅力、純粋な心,感受性が豊か、デリケート、ロマンチスト、影響されやすい,人の心を読み取る力、共感する能力、インスピレーションを得る力,感情の起伏が激しい、気分屋,言葉なくして相手の気持ちを察し、心を通わせることができる。,他人の感情に引きずられやすい、傷つきやすい。,恋愛や結婚の象徴。若い男女が惹かれあうように、自然な感応で関係が深まる。,アーティスト、カウンセラー、詩人、俳優、占い師,私心を捨て、無心で相手を感じること。頭で考えず、心の声に耳を澄ます。
