ID,データ種別,親ID,項目名,関連する共通キーワード
line_19_3,六爻,hex_19,六三：甘臨,"損失・浪費,感情・情熱,リーダーシップ"
line_19_4,六爻,hex_19,六四：至臨,"追従・服従,奉仕・貢献,実行・達成"
line_19_5,六爻,hex_19,六五：知臨,"知性・学習,リーダーシップ,権威・支配"
line_19_6,六爻,hex_19,上六：敦臨,"母性・慈愛,奉仕・貢献,完成・集大成"
line_20_1,六爻,hex_20,初六：童観,"内省・静観,知性・学習,未熟"
line_20_2,六爻,hex_20,六二：闚観,"内省・静観,秘密・潜在,特殊・異端"
line_20_3,六爻,hex_20,六三：観我生,"自己変容・脱皮,内省・静観,戦略・計画"
line_20_4,六爻,hex_20,六四：観国之光,"社交性・人脈,奉仕・貢献,権威・支配"
line_20_5,六爻,hex_20,九五：観我生,"リーダーシップ,内省・静観,自己変容・脱皮"
line_20_6,六爻,hex_20,上九：観其生,"内省・静観,先見・大局観,完成・集大成"
line_21_1,六爻,hex_21,初九：屨校滅趾,"正義・改善,始動・萌芽,困難・停滞"
line_21_2,六爻,hex_21,六二：噬膚滅鼻,"正義・改善,実行・達成,困難・停滞"
line_21_3,六爻,hex_21,六三：噬臘肉,"葛藤・矛盾,困難・停滞,挑戦・困難"
line_21_4,六爻,hex_21,九四：噬乾胏,"挑戦・困難,実行・達成,富・豊かさ"
line_21_5,六爻,hex_21,六五：噬乾肉,"正義・改善,戦略・計画,富・豊かさ"
line_21_6,六爻,hex_21,上九：荷校滅耳,"損失・浪費,困難・停滞,完成・集大成"
line_22_1,六爻,hex_22,初九：賁其趾,"美的感覚・洗練,本質・真実,始動・萌芽"
line_22_2,六爻,hex_22,六二：賁其須,"美的感覚・洗練,追従・服従,依存・付着"
line_22_3,六爻,hex_22,九三：賁如濡如,"美的感覚・洗練,富・豊かさ,持続・安定"
line_22_4,六爻,hex_22,六四：賁如皤如,"本質・真実,自己変容・脱皮,特殊・異端"
line_22_5,六爻,hex_22,六五：賁于丘園,"美的感覚・洗練,富・豊かさ,奉仕・貢献"
line_22_6,六爻,hex_22,上九：白賁,"本質・真実,完成・集大成,美的感覚・洗練"
line_23_1,六爻,hex_23,初六：剥牀以足,"損失・浪費,困難・停滞,始動・萌芽"
line_23_2,六爻,hex_23,六二：剥牀以辨,"損失・浪費,困難・停滞,変動・転換"
line_23_3,六爻,hex_23,六三：剥之无咎,"自己変容・脱皮,特殊・異端,追従・服従"
line_23_4,六爻,hex_23,六四：剥牀以膚,"損失・浪費,困難・停滞,危機"
line_23_5,六爻,hex_23,六五：貫魚,"構造化・秩序,追従・服従,母性・慈愛"
line_23_6,六爻,hex_23,上九：碩果不食,"富・豊かさ,創造・革新,秘密・潜在"
line_24_1,六爻,hex_24,初九：不遠復,"自己変容・脱皮,始動・萌芽,正義・改善"
line_24_2,六爻,hex_24,六二：休復,"自己変容・脱皮,追従・服従,調和・平和"
line_24_3,六爻,hex_24,六三：頻復,"変動・転換,葛藤・矛盾,挑戦・困難"
line_24_4,六爻,hex_24,六四：中行独復,"特殊・異端,自己変容・脱皮,本質・真実"
line_24_5,六爻,hex_24,六五：敦復,"自己変容・脱皮,内省・静観,本質・真実"
line_24_6,六爻,hex_24,上六：迷復,"損失・浪費,困難・停滞,葛藤・矛盾"
line_25_1,六爻,hex_25,初九：无妄往,"本質・真実,始動・萌芽,実行・達成"
line_25_2,六爻,hex_25,六二：不耕穫,"受動・待機,本質・真実,富・豊かさ"
line_25_3,六爻,hex_25,六三：无妄之災,"損失・浪費,困難・停滞,変動・転換"
line_25_4,六爻,hex_25,九四：可貞,"本質・真実,持続・安定,実行・達成"
line_25_5,六爻,hex_25,九五：无妄之疾,"困難・停滞,自己変容・脱皮,本質・真実"
line_25_6,六爻,hex_25,上九：无妄行,"困難・停滞,損失・浪費,実行・達成"
line_26_1,六爻,hex_26,初九：有厲利已,"困難・停滞,挑戦・困難,受動・待機"
line_26_2,六爻,hex_26,九二：輿説輻,"困難・停滞,葛藤・矛盾,受動・待機"
line_26_3,六爻,hex_26,九三：良馬逐,"実行・達成,挑戦・困難,戦略・計画"
line_26_4,六爻,hex_26,六四：童牛之牿,"始動・萌芽,構造化・秩序,父性・厳格"
line_26_5,六爻,hex_26,六五：豶豕之牙,"権威・支配,正義・改善,富・豊かさ"
line_26_6,六爻,hex_26,上九：何天之衢,"完成・集大成,実行・達成,リーダーシップ"
line_27_1,六爻,hex_27,初九：舎爾霊亀,"損失・浪費,特殊・異端,葛藤・矛盾"
line_27_2,六爻,hex_27,六二：顛頤,"損失・浪費,追従・服従,困難・停滞"
line_27_3,六爻,hex_27,六三：払頤,"損失・浪費,実行・達成,自己変容・脱皮"
line_27_4,六爻,hex_27,六四：虎視眈眈,"富・豊かさ,権威・支配,挑戦・困難"
line_27_5,六爻,hex_27,六五：払経,"リーダーシップ,奉仕・貢献,受動・待機"
line_27_6,六爻,hex_27,上九：由頤,"リーダーシップ,富・豊かさ,完成・集大成"
line_28_1,六爻,hex_28,初六：藉用白茅,"慎重さ,構造化・秩序,始動・萌芽"
line_28_2,六爻,hex_28,九二：枯楊生稊,"創造・革新,成長・発展,家族・家庭"
line_28_3,六爻,hex_28,九三：棟橈,"困難・停滞,損失・浪費,権威・支配"
line_28_4,六爻,hex_28,九四：棟隆,"リーダーシップ,構造化・秩序,富・豊かさ"
line_28_5,六爻,hex_28,九五：枯楊生華,"創造・革新,美的感覚・洗練,家族・家庭"
line_28_6,六爻,hex_28,上六：過渉滅頂,"損失・浪費,困難・停滞,挑戦・困難"
line_29_1,六爻,hex_29,初六：習坎入于,"困難・停滞,始動・萌芽,内省・静観"
line_29_2,六爻,hex_29,九二：坎有険,"挑戦・困難,知性・学習,自己変容・脱皮"
line_29_3,六爻,hex_29,六三：来之坎坎,"困難・停滞,受動・待機,葛藤・矛盾"
line_29_4,六爻,hex_29,六四：樽酒簋,"本質・真実,交渉・取引,調和・平和"
line_29_5,六爻,hex_29,九五：坎不盈,"成長・発展,実行・達成,自己変容・脱皮"
line_29_6,六爻,hex_29,上六：係用徽纆,"困難・停滞,損失・浪費,完成・集大成"
line_30_1,六爻,hex_30,初九：履校然,"始動・萌芽,内省・静観,構造化・秩序"
line_30_2,六爻,hex_30,六二：黄離,"中庸,調和・平和,美的感覚・洗練"
line_30_3,六爻,hex_30,九三：日昃之離,"変動・転換,感情・情熱,表現・伝達"
line_30_4,六爻,hex_30,九四：突如其来如,"変動・転換,創造・革新,損失・浪費"
line_30_5,六爻,hex_30,六五：出涕沱若,"自己変容・脱皮,リーダーシップ,感情・情熱"
line_30_6,六爻,hex_30,上九：王用出征,"権威・支配,正義・改善,実行・達成"
line_31_1,六爻,hex_31,初六：咸其拇,"始動・萌芽,感情・情熱,未熟"
line_31_2,六爻,hex_31,六二：咸其腓,"受動・待機,内省・静観,困難・停滞"
line_31_3,六爻,hex_31,九三：咸其股,"追従・服従,実行・達成,損失・浪費"
line_31_4,六爻,hex_31,九四：貞吉悔亡,"本質・真実,リーダーシップ,感情・情熱"
line_31_5,六爻,hex_31,九五：咸其脢,"内省・静観,リーダーシップ,自己変容・脱皮"
line_31_6,六爻,hex_31,上六：咸其輔頬舌,"表現・伝達,社交性・人脈,損失・浪費"
line_32_1,六爻,hex_32,初六：浚恒,"始動・萌芽,挑戦・困難,損失・浪費"
line_32_2,六爻,hex_32,九二：悔亡,"自己変容・脱皮,持続・安定,内省・静観"
line_32_3,六爻,hex_32,九三：不恒其徳,"葛藤・矛盾,損失・浪費,変動・転換"
line_32_4,六爻,hex_32,九四：田无禽,"戦略・計画,損失・浪費,自己変容・脱皮"
line_32_5,六爻,hex_32,六五：恒其徳,"持続・安定,本質・真実,追従・服従"
line_32_6,六爻,hex_32,上六：振恒,"変動・転換,実行・達成,困難・停滞"
line_33_1,六爻,hex_33,初六：遯尾,"困難・停滞,損失・浪費,変動・転換"
line_33_2,六爻,hex_33,六二：執之用黄牛之革,"持続・安定,追従・服従,秘密・潜在"
line_33_3,六爻,hex_33,九三：係遯,"葛藤・矛盾,困難・停滞,家族・家庭"
line_33_4,六爻,hex_33,九四：好遯,"自己変容・脱皮,実行・達成,リーダーシップ"
line_33_5,六爻,hex_33,九五：嘉遯,"美的感覚・洗練,調和・平和,内省・静観"
line_33_6,六爻,hex_33,上九：肥遯,"完成・集大成,放浪・自由,特殊・異端"
line_34_1,六爻,hex_34,初九：壮于趾,"始動・萌芽,挑戦・困難,損失・浪費"
line_34_2,六爻,hex_34,九二：貞吉,"持続・安定,正義・改善,内省・静観"
line_34_3,六爻,hex_34,九三：小人用壮,"権威・支配,損失・浪費,葛藤・矛盾"
line_34_4,六爻,hex_34,九四：藩決不羸,"実行・達成,自己変容・脱皮,成長・発展"
line_34_5,六爻,hex_34,六五：喪羊于易,"損失・浪費,困難・停滞,受動・待機"
line_34_6,六爻,hex_34,上六：羝羊触藩,"困難・停滞,葛藤・矛盾,完成・集大成"
line_35_1,六爻,hex_35,初六：晋如摧如,"困難・停滞,始動・萌芽,内省・静観"
line_35_2,六爻,hex_35,六二：晋如愁如,"困難・停滞,葛藤・矛盾,母性・慈愛"
line_35_3,六爻,hex_35,六三：衆允,"共感・受容,調和・平和,追従・服従"
line_35_4,六爻,hex_35,九四：晋如鼫鼠,"困難・停滞,秘密・潜在,損失・浪費"
line_35_5,六爻,hex_35,六五：失得勿恤,"リーダーシップ,富・豊かさ,奉仕・貢献"
line_35_6,六爻,hex_35,上九：維用伐邑,"権威・支配,正義・改善,実行・達成"
line_36_1,六爻,hex_36,初九：明夷于飛,"困難・停滞,戦略・計画,父性・厳格"
line_36_2,六爻,hex_36,六二：明夷夷于左股,"困難・停滞,受動・待機,戦略・計画"
line_36_3,六爻,hex_36,九三：明夷于南狩,"実行・達成,リーダーシップ,正義・改善"
line_36_4,六爻,hex_36,六四：入于左腹,"秘密・潜在,内省・静観,自己変容・脱皮"
line_36_5,六爻,hex_36,六五：箕子之明夷,"秘密・潜在,特殊・異端,持続・安定"
line_36_6,六爻,hex_36,上六：不明晦,"損失・浪費,完成・集大成,困難・停滞"
line_37_1,六爻,hex_37,初九：閑有家,"家族・家庭,構造化・秩序,始動・萌芽"
line_37_2,六爻,hex_37,六二：无攸遂,"家族・家庭,母性・慈愛,奉仕・貢献"
line_37_3,六爻,hex_37,九三：家人嗃嗃,"父性・厳格,葛藤・矛盾,感情・情熱"
line_37_4,六爻,hex_37,六四：富家,"家族・家庭,富・豊かさ,母性・慈愛"
line_37_5,六爻,hex_37,九五：王假有家,"リーダーシップ,父性・厳格,家族・家庭"
line_37_6,六爻,hex_37,上九：有孚威如,"権威・支配,父性・厳格,完成・集大成"
line_38_1,六爻,hex_38,初九：悔亡,"自己変容・脱皮,内省・静観,調和・平和"
line_38_2,六爻,hex_38,九二：遇主于巷,"交渉・取引,調和・平和,秘密・潜在"
line_38_3,六爻,hex_38,六三：見輿曳,"困難・停滞,損失・浪費,葛藤・矛盾"
line_38_4,六爻,hex_38,九四：睽孤,"孤立,特殊・異端,調和・平和"
line_38_5,六爻,hex_38,六五：厥宗噬膚,"自己変容・脱皮,調和・平和,奉仕・貢献"
line_38_6,六爻,hex_38,上九：睽孤,"孤立,特殊・異端,葛藤・矛盾"
line_39_1,六爻,hex_39,初六：往蹇来誉,"困難・停滞,内省・静観,成長・発展"
line_39_2,六爻,hex_39,六二：王臣蹇蹇,"困難・停滞,追従・服従,奉仕・貢献"
line_39_3,六爻,hex_39,九三：往蹇来反,"困難・停滞,家族・家庭,調和・平和"
line_39_4,六爻,hex_39,六四：往蹇来連,"困難・停滞,社交性・人脈,奉仕・貢献"
line_39_5,六爻,hex_39,九五：大蹇朋来,"困難・停滞,リーダーシップ,奉仕・貢献"
line_39_6,六爻,hex_39,上六：往蹇来碩,"困難・停滞,完成・集大成,リーダーシップ"
line_40_1,六爻,hex_40,初六：无咎,"始動・萌芽,自己変容・脱皮,調和・平和"
line_40_2,六爻,hex_40,九二：田獲三狐,"正義・改善,実行・達成,富・豊かさ"
line_40_3,六爻,hex_40,六三：負且乗,"損失・浪費,困難・停滞,葛藤・矛盾"
line_40_4,六爻,hex_40,九四：解而拇,"自己変容・脱皮,社交性・人脈,信頼"
line_40_5,六爻,hex_40,六五：君子維有解,"リーダーシップ,自己変容・脱皮,信頼"
line_40_6,六爻,hex_40,上六：公用射隼,"権威・支配,実行・達成,完成・集大成"
line_41_1,六爻,hex_41,初九：已事遄往,"奉仕・貢献,実行・達成,自己変容・脱皮"
line_41_2,六爻,hex_41,九二：利貞,"奉仕・貢献,持続・安定,正義・改善"
line_41_3,六爻,hex_41,六三：三人行,"葛藤・矛盾,社交性・人脈,自己変容・脱皮"
line_41_4,六爻,hex_41,六四：損其疾,"自己変容・脱皮,成長・発展,調和・平和"
line_41_5,六爻,hex_41,六五：或益之,"富・豊かさ,直感・感性,受動・待機"
line_41_6,六爻,hex_41,上九：弗損益之,"富・豊かさ,リーダーシップ,奉仕・貢献"
line_42_1,六爻,hex_42,初九：利用為大作,"始動・萌芽,実行・達成,成長・発展"
line_42_2,六爻,hex_42,六二：或益之,"富・豊かさ,直感・感性,受動・待機"
line_42_3,六爻,hex_42,六三：益之用凶事,"困難・停滞,奉仕・貢献,自己変容・脱皮"
line_42_4,六爻,hex_42,六四：中行,"リーダーシップ,奉仕・貢献,交渉・取引"
line_42_5,六爻,hex_42,九五：有孚恵心,"リーダーシップ,母性・慈愛,分配・贈与"
line_42_6,六爻,hex_42,上九：莫益之,"損失・浪費,権威・支配,葛藤・矛盾"
line_43_1,六爻,hex_43,初九：壮于前趾,"始動・萌芽,挑戦・困難,損失・浪費"
line_43_2,六爻,hex_43,九二：惕号,"内省・静観,戦略・計画,困難・停滞"
line_43_3,六爻,hex_43,九三：壮于頄,"実行・達成,孤立,葛藤・矛盾"
line_43_4,六爻,hex_43,九四：臀无膚,"困難・停滞,葛藤・矛盾,自己変容・脱皮"
line_43_5,六爻,hex_43,九五：莧陸夬夬,"リーダーシップ,実行・達成,自己変容・脱皮"
line_43_6,六爻,hex_43,上六：无号,"完成・集大成,損失・浪費,困難・停滞"
line_44_1,六爻,hex_44,初六：繋于金柅,"受動・待機,困難・停滞,構造化・秩序"
line_44_2,六爻,hex_44,九二：包有魚,"秘密・潜在,富・豊かさ,分配・贈与"
line_44_3,六爻,hex_44,九三：臀无膚,"困難・停滞,葛藤・矛盾,挑戦・困難"
line_44_4,六爻,hex_44,九四：包无魚,"損失・浪費,孤立,葛藤・矛盾"
line_44_5,六爻,hex_44,九五：以杞包瓜,"秘密・潜在,美的感覚・洗練,リーダーシップ"
line_44_6,六爻,hex_44,上九：姤其角,"孤立,特殊・異端,完成・集大成"
line_45_1,六爻,hex_45,初六：有孚不終,"始動・萌芽,葛藤・矛盾,社交性・人脈"
line_45_2,六爻,hex_45,六二：引吉,"追従・服従,直感・感性,奉仕・貢献"
line_45_3,六爻,hex_45,六三：萃如嗟如,"葛藤・矛盾,孤立,社交性・人脈"
line_45_4,六爻,hex_45,九四：大吉无咎,"リーダーシップ,権威・支配,実行・達成"
line_45_5,六爻,hex_45,九五：萃有位,"リーダーシップ,本質・真実,奉仕・貢献"
line_45_6,六爻,hex_45,上六：齎咨涕洟,"損失・浪費,感情・情熱,奉仕・貢献"
line_46_1,六爻,hex_46,初六：允升,"始動・萌芽,成長・発展,追従・服従"
line_46_2,六爻,hex_46,九二：孚乃利用,"本質・真実,奉仕・貢献,成長・発展"
line_46_3,六爻,hex_46,九三：升虚邑,"実行・達成,成長・発展,富・豊かさ"
line_46_4,六爻,hex_46,六四：王用亨于岐山,"リーダーシップ,奉仕・貢献,循環・継続"
line_46_5,六爻,hex_46,六五：貞吉升階,"持続・安定,成長・発展,リーダーシップ"
line_46_6,六爻,hex_46,上六：冥升,"困難・停滞,内省・静観,損失・浪費"
line_47_1,六爻,hex_47,初六：臀困于株木,"困難・停滞,内省・静観,秘密・潜在"
line_47_2,六爻,hex_47,九二：困于酒食,"困難・停滞,富・豊かさ,奉仕・貢献"
line_47_3,六爻,hex_47,六三：困于石,"困難・停滞,葛藤・矛盾,損失・浪費"
line_47_4,六爻,hex_47,九四：来徐徐,"困難・停滞,追従・服従,戦略・計画"
line_47_5,六爻,hex_47,九五：劓刖,"困難・停滞,権威・支配,自己変容・脱皮"
line_47_6,六爻,hex_47,上六：困于葛藟,"困難・停滞,自己変容・脱皮,変動・転換"
line_48_1,六爻,hex_48,初六：井泥不食,"損失・浪費,困難・停滞,本質・真実"
line_48_2,六爻,hex_48,九二：井谷射鮒,"損失・浪費,秘密・潜在,特殊・異端"
line_48_3,六爻,hex_48,九三：井渫不食,"秘密・潜在,損失・浪費,美的感覚・洗練"
line_48_4,六爻,hex_48,六四：井甃,"自己変容・脱皮,構造化・秩序,奉仕・貢献"
line_48_5,六爻,hex_48,九五：井洌,"本質・真実,富・豊かさ,リーダーシップ"
line_48_6,六爻,hex_48,上六：井收勿幕,"完成・集大成,富・豊かさ,分配・贈与"
line_49_1,六爻,hex_49,初九：鞏用黄牛之革,"持続・安定,構造化・秩序,受動・待機"
line_49_2,六爻,hex_49,六二：巳日乃革之,"変動・転換,実行・達成,正義・改善"
line_49_3,六爻,hex_49,九三：革言三就,"交渉・取引,戦略・計画,困難・停滞"
line_49_4,六爻,hex_49,九四：悔亡有孚,"リーダーシップ,自己変容・脱皮,信頼"
line_49_5,六爻,hex_49,九五：大人虎変,"リーダーシップ,創造・革新,美的感覚・洗練"
line_49_6,六爻,hex_49,上六：君子豹変,"自己変容・脱皮,美的感覚・洗練,調和・平和"
line_50_1,六爻,hex_50,初六：鼎顛趾,"自己変容・脱皮,正義・改善,始動・萌芽"
line_50_2,六爻,hex_50,九二：鼎有実,"富・豊かさ,本質・真実,内省・静観"
line_50_3,六爻,hex_50,九三：鼎耳革,"困難・停滞,変動・転換,損失・浪費"
line_50_4,六爻,hex_50,九四：鼎折足,"損失・浪費,困難・停滞,権威・支配"
line_50_5,六爻,hex_50,六五：鼎黄耳金鉉,"富・豊かさ,本質・真実,リーダーシップ"
line_50_6,六爻,hex_50,上九：鼎玉鉉,"完成・集大成,富・豊かさ,権威・支配"
line_51_1,六爻,hex_51,初九：震来虩虩,"始動・萌芽,変動・転換,内省・静観"
line_51_2,六爻,hex_51,六二：震来厲,"困難・停滞,損失・浪費,戦略・計画"
line_51_3,六爻,hex_51,六三：蘇蘇,"変動・転換,自己変容・脱皮,実行・達成"
line_51_4,六爻,hex_51,九四：震遂泥,"困難・停滞,損失・浪費,葛藤・矛盾"
line_51_5,六爻,hex_51,六五：震往来厲,"困難・停滞,実行・達成,挑戦・困難"
line_51_6,六爻,hex_51,上六：震索索,"困難・停滞,内省・静観,葛藤・矛盾"
line_52_1,六爻,hex_52,初六：艮其趾,"始動・萌芽,内省・静観,本質・真実"
line_52_2,六爻,hex_52,六二：艮其腓,"困難・停滞,追従・服従,葛藤・矛盾"
line_52_3,六爻,hex_52,九三：艮其限,"困難・停滞,権威・支配,危機"
line_52_4,六爻,hex_52,六四：艮其身,"内省・静観,自己変容・脱皮,調和・平和"
line_52_5,六爻,hex_52,六五：艮其輔,"表現・伝達,構造化・秩序,内省・静観"
line_52_6,六爻,hex_52,上九：敦艮,"完成・集大成,富・豊かさ,持続・安定"
line_53_1,六爻,hex_53,初六：鴻漸于干,"始動・萌芽,内省・静観,困難・停滞"
line_53_2,六爻,hex_53,六二：鴻漸于磐,"成長・発展,調和・平和,富・豊かさ"
line_53_3,六爻,hex_53,九三：鴻漸于陸,"挑戦・困難,損失・浪費,家族・家庭"
line_53_4,六爻,hex_53,六四：鴻漸于木,"自己変容・脱皮,戦略・計画,適応性"
line_53_5,六爻,hex_53,九五：鴻漸于陵,"完成・集大成,リーダーシップ,母性・慈愛"
line_53_6,六爻,hex_53,上九：鴻漸于逵,"完成・集大成,美的感覚・洗練,奉仕・貢献"
line_54_1,六爻,hex_54,初九：帰妹以娣,"追従・服従,困難・停滞,家族・家庭"
line_54_2,六爻,hex_54,九二：眇能視,"特殊・異端,秘密・潜在,持続・安定"
line_54_3,六爻,hex_54,六三：帰妹以須,"自己変容・脱皮,受動・待機,追従・服従"
line_54_4,六爻,hex_54,九四：帰妹愆期,"戦略・計画,受動・待機,持続・安定"
line_54_5,六爻,hex_54,六五：帝乙帰妹,"富・豊かさ,美的感覚・洗練,本質・真実"
line_54_6,六爻,hex_54,上六：女承筐无实,"損失・浪費,困難・停滞,奉仕・貢献"
line_55_1,六爻,hex_55,初九：遇其配主,"始動・萌芽,調和・平和,成長・発展"
line_55_2,六爻,hex_55,六二：豊其蔀,"秘密・潜在,葛藤・矛盾,内省・静観"
line_55_3,六爻,hex_55,九三：豊其沛,"損失・浪費,困難・停滞,実行・達成"
line_55_4,六爻,hex_55,九四：豊其蔀,"秘密・潜在,リーダーシップ,調和・平和"
line_55_5,六爻,hex_55,六五：来章,"リーダーシップ,美的感覚・洗練,富・豊かさ"
line_55_6,六爻,hex_55,上六：豊其屋,"孤立,損失・浪費,完成・集大成"
line_56_1,六爻,hex_56,初六：旅瑣瑣,"困難・停滞,損失・浪費,始動・萌芽"
line_56_2,六爻,hex_56,六二：旅卽次,"調和・平和,富・豊かさ,追従・服従"
line_56_3,六爻,hex_56,九三：旅焚其次,"損失・浪費,葛藤・矛盾,挑戦・困難"
line_56_4,六爻,hex_56,九四：旅于処,"戦略・計画,内省・静観,富・豊かさ"
line_56_5,六爻,hex_56,六五：射雉一矢亡,"奉仕・貢献,リーダーシップ,美的感覚・洗練"
line_56_6,六爻,hex_56,上九：鳥焚其巣,"損失・浪費,完成・集大成,困難・停滞"
line_57_1,六爻,hex_57,初六：進退,"葛藤・矛盾,戦略・計画,内省・静観"
line_57_2,六爻,hex_57,九二：巽在牀下,"秘密・潜在,追従・服従,分析・探求"
line_57_3,六爻,hex_57,九三：頻巽,"葛藤・矛盾,損失・浪費,内省・静観"
line_57_4,六爻,hex_57,六四：悔亡,"実行・達成,富・豊かさ,戦略・計画"
line_57_5,六爻,hex_57,九五：貞吉悔亡,"リーダーシップ,自己変容・脱皮,完成・集大成"
line_57_6,六爻,hex_57,上九：巽在牀下,"損失・浪費,困難・停滞,秘密・潜在"
line_58_1,六爻,hex_58,初九：和兌,"調和・平和,始動・萌芽,共感・受容"
line_58_2,六爻,hex_58,九二：孚兌,"本質・真実,信頼,調和・平和"
line_58_3,六爻,hex_58,六三：来兌,"損失・浪費,追従・服従,社交性・人脈"
line_58_4,六爻,hex_58,九四：商兌未寧,"交渉・取引,葛藤・矛盾,自己変容・脱皮"
line_58_5,六爻,hex_58,九五：孚于剥,"困難・停滞,信頼,リーダーシップ"
line_58_6,六爻,hex_58,上六：引兌,"リーダーシップ,表現・伝達,変動・転換"
line_59_1,六爻,hex_59,初六：用拯馬壮,"始動・萌芽,育成・支援,実行・達成"
line_59_2,六爻,hex_59,九二：渙奔其机,"自己変容・脱皮,挑戦・困難,内省・静観"
line_59_3,六爻,hex_59,六三：渙其躬,"自己変容・脱皮,奉仕・貢献,本質・真実"
line_59_4,六爻,hex_59,六四：渙其群,"リーダーシップ,創造・革新,奉仕・貢献"
line_59_5,六爻,hex_59,九五：渙汗其大号,"リーダーシップ,権威・支配,分配・贈与"
line_59_6,六爻,hex_59,上六：渙其血,"困難・停滞,自己変容・脱皮,完成・集大成"
line_60_1,六爻,hex_60,初九：不出戸庭,"受動・待機,内省・静観,始動・萌芽"
line_60_2,六爻,hex_60,九二：不出門庭,"受動・待機,困難・停滞,損失・浪費"
line_60_3,六爻,hex_60,六三：不節若,"損失・浪費,感情・情熱,葛藤・矛盾"
line_60_4,六爻,hex_60,六四：安節,"受動・待機,調和・平和,持続・安定"
line_60_5,六爻,hex_60,九五：甘節,"リーダーシップ,美的感覚・洗練,富・豊かさ"
line_60_6,六爻,hex_60,上六：苦節,"困難・停滞,父性・厳格,損失・浪費"
line_61_1,六爻,hex_61,初九：虞吉,"内省・静観,戦略・計画,調和・平和"
line_61_2,六爻,hex_61,九二：鳴鶴在陰,"秘密・潜在,本質・真実,調和・平和"
line_61_3,六爻,hex_61,六三：得敵,"葛藤・矛盾,変動・転換,困難・停滞"
line_61_4,六爻,hex_61,六四：月幾望,"追従・服従,構造化・秩序,自己変容・脱皮"
line_61_5,六爻,hex_61,九五：有孚攣如,"リーダーシップ,信頼,調和・平和"
line_61_6,六爻,hex_61,上六：翰音登于天,"表現・伝達,損失・浪費,完成・集大成"
line_62_1,六爻,hex_62,初六：飛鳥以凶,"始動・萌芽,損失・浪費,挑戦・困難"
line_62_2,六爻,hex_62,六二：弗過其祖,"追従・服従,構造化・秩序,調和・平和"
line_62_3,六爻,hex_62,九三：弗過防之,"困難・停滞,戦略・計画,内省・静観"
line_62_4,六爻,hex_62,九四：无咎弗過,"実行・達成,慎重さ,調和・平和"
line_62_5,六爻,hex_62,六五：密雲不雨,"秘密・潜在,困難・停滞,受動・待機"
line_62_6,六爻,hex_62,上六：弗遇過之,"損失・浪費,葛藤・矛盾,完成・集大成"
line_63_1,六爻,hex_63,初九：曳其輪,"始動・萌芽,困難・停滞,内省・静観"
line_63_2,六爻,hex_63,六二：婦喪其茀,"損失・浪費,秘密・潜在,受動・待機"
line_63_3,六爻,hex_63,九三：高宗伐鬼方,"実行・達成,挑戦・困難,権威・支配"
line_63_4,六爻,hex_63,六四：繻有衣袽,"困難・停滞,内省・静観,秘密・潜在"
line_63_5,六爻,hex_63,九五：東隣殺牛,"富・豊かさ,奉仕・貢献,本質・真実"
line_63_6,六爻,hex_63,上六：濡其首,"困難・停滞,損失・浪費,完成・集大成"
line_64_1,六爻,hex_64,初六：濡其尾,"始動・萌芽,困難・停滞,損失・浪費"
line_64_2,六爻,hex_64,九二：曳其輪,"持続・安定,内省・静観,戦略・計画"
line_64_3,六爻,hex_64,六三：未済征凶,"実行・達成,挑戦・困難,リーダーシップ"
line_64_4,六爻,hex_64,九四：貞吉悔亡,"実行・達成,リーダーシップ,富・豊かさ"
line_64_5,六爻,hex_64,六五：君子之光,"リーダーシップ,本質・真実,完成・集大成"
line_64_6,六爻,hex_64,上九：有孚于飲酒,"完成・集大成,富・豊かさ,損失・浪費"