strength_name_jp,strength_name_en,domain_jp,essence_jp,contribution_score,light_aspect_keywords,light_aspect_description,shadow_aspect_keywords,shadow_aspect_description
達成欲,Achiever,実行力,目標達成への尽きない意欲,"震(雷): 2.0, 離(火): 0.5, 艮(山): 0.5","生産性, 粘り強さ",目標達成への内発的なドライブが、驚異的な生産性とスタミナとして現れる。,"ワーカホリック, 燃え尽き",「やり遂げること」自体が目的化し、休息を忘れ、心身をすり減らしてしまう。 
アレンジ,Arranger,実行力,複数要素の最適配置,"巽(風): 1.5, 坤(地): 1.0, 兌(沢): 0.5","効率化, 調整力",複雑に絡み合った要素を、チェスの名人のように動かし、最も効率的な配置を見つけ出す。,"過剰な管理, 朝令暮改",状況をコントロールしようとするあまり、過度に干渉したり、頻繁に計画を変更したりする。
信念,Belief,実行力,揺るぎない内なる価値観,"艮(山): 2.5, 乾(天): 0.5","一貫性, 使命感",自らの核となる価値観が羅針盤となり、行動に一貫性と高い目的意識を与える。,"頑固, 非現実的",自分の信条を絶対視するあまり、他者の意見や現実的な制約を受け入れられなくなる。
公平性,Consistency,実行力,平等なルールとシステムの適用,"艮(山): 2.0, 乾(天): 1.0","公正, 予測可能性",一貫したルールをすべての人に平等に適用することで、安定性と予測可能な環境を築く。,"融通が利かない, 官僚的",例外や個別の事情を考慮することができず、規則のために規則を守るようになってしまう。
慎重さ,Deliberative,実行力,リスクの特定と回避,"坎(水): 2.0, 艮(山): 1.0","危機管理, 思慮深さ",あらゆるリスクを事前に洗い出し、慎重に分析することで、大きな過ちを未然に防ぐ。,"決断不能, 悲観主義",リスクを恐れるあまり、決断を下せなくなったり、常に最悪の事態を想定したりする。
規律性,Discipline,実行力,秩序と構造の希求,"艮(山): 2.5, 坤(地): 0.5","正確さ, 計画性",自らの中に秩序あるルーティンを作り出し、正確かつ計画的に物事を遂行する。,"完璧主義, 柔軟性の欠如",計画通りに進まないと強いストレスを感じ、予期せぬ変化に対応することが難しい。
責任感,Responsibility,実行力,やり遂げることへの誠実な誓い,"坤(地): 2.5, 艮(山): 0.5","信頼性, 所有者意識",一度「引き受ける」と決めたことは、それが自分の義務であるかのように最後までやり遂げる。,"過剰な自己犠牲, 断れない",他者からの期待を断れず、自分のキャパシティを超えてまで責任を背負い込んでしまう。
回復志向,Restorative,実行力,問題の発見と修復,"坎(水): 1.5, 震(雷): 1.0, 兌(沢): 0.5","問題解決, 改善",壊れたり、機能不全に陥ったりしている物事の本質的な原因を見抜き、正常な状態に戻す。,"粗探し, ネガティブ思考",常に「問題点」に目が行くため、物事の良い側面を見過ごしたり、批判的になったりする。
集中,Focus,実行力,目標への一点集中,"艮(山): 1.5, 震(雷): 1.5","効率性, 推進力",明確なゴールを設定し、そこに向かって一直線に進むことで、驚くべき効率性を発揮する。,"視野狭窄, 優先順位の誤り",目標に集中するあまり、周囲の状況変化や、より重要なことを見失ってしまうことがある。
活発性,Activator,影響力,アイデアの即時実行,"震(雷): 2.5, 離(火): 0.5","推進力, 起爆剤",「いつか」ではなく「今すぐ」行動することで、議論や計画を具体的なアクションへと変える。,"見切り発車, 無計画",熟考する前に走り出すため、無駄な行動が多くなったり、周囲を混乱させたりすることがある。
指令性,Command,影響力,決断を下し主導権を握る,"乾(天): 1.5, 震(雷): 1.5","決断力, 突破力",混乱した状況でも臆することなく決断を下し、その場の主導権を握って事態を動かす。,"独裁的, 威圧的",自分の意見を押し通そうとするあまり、他者の意見を聞き入れず、威圧的な態度をとる。
コミュニケーション,Communication,影響力,言葉による魅力的な表現,"巽(風): 1.5, 兌(沢): 1.0, 離(火): 0.5","説得力, 表現力",複雑なアイデアを、聞き手の心に響くストーリーや言葉に変換して、生き生きと伝える。,"誇張, 言葉だけ",人を惹きつけようとするあまり、話を大げさにしたり、実行が伴わない言葉を並べたりする。
競争性,Competition,影響力,他者との比較による勝利への渇望,"震(雷): 1.5, 離(火): 1.5","向上心, パフォーマンス",明確なライバルや比較対象がいることで、自分の能力を最大限に引き出し、高い成果を上げる。,"過度な敵対心, 嫉妬",「勝つこと」自体が目的となり、他者を敵とみなし、その成功を喜べなくなる。
最上志向,Maximizer,影響力,強みを最高レベルに磨き上げる,"離(火): 1.5, 兌(沢): 1.0, 乾(天): 0.5","卓越性, 高品質",平均的なものを少し良くするのではなく、元々優れたものを最高レベルにまで磨き上げることに集中する。,"弱点の無視, エリート主義",自分の弱みや他者の欠点から目をそらし、一流のもの以外を評価しなくなる傾向がある。
自己確信,Self-Assurance,影響力,自らの能力と判断への絶対的信頼,"乾(天): 2.0, 艮(山): 1.0","自信, リスクテイク",自らの内なる羅針盤を信じ、確信を持って行動し、リスクを取ることを厭わない。,"傲慢, 独善的",自分の考えが絶対に正しいと信じ込み、他者からの助言やフィードバックを一切聞かなくなる。
自我,Significance,影響力,他者から重要視されたいという欲求,"離(火): 2.0, 乾(天): 1.0","高い目標, 独立性",「その他大勢」ではなく、特別な存在として認められたいという欲求が、大きな目標へ向かう原動力となる。,"注目されたがり, 虚栄心",他者からの注目や賞賛を得るために、本来の目的から外れた行動をとってしまうことがある。
社交性,Woo,影響力,初対面の人を魅了し、味方につける,"離(火): 1.5, 兌(沢): 1.5","人脈構築, 親しみやすさ",初対面の相手の心を開かせ、好意を勝ち取ることに喜びを感じ、自然と人脈が広がる。,"表面的な関係, 八方美人",広く浅い関係を好み、特定の人と深く関わることや、誠実な対立を避ける傾向がある。
適応性,Adaptability,人間関係構築力,「今」の流れに乗り、柔軟に対応する,"坎(水): 1.5, 巽(風): 1.5","現在への集中, 柔軟性",未来を案じるより、「今、ここ」で起きていることに集中し、流れに身を任せて柔軟に行動する。,"無計画, 主体性のなさ",計画通りに行動するのが苦手で、他者の都合や状況に流され、主体性がないように見えることがある。
運命思考,Connectedness,人間関係構築力,万物の一体性と繋がりを信じる,"坤(地): 1.5, 巽(風): 1.0, 坎(水): 0.5","包括的な視点, 利他主義",すべての出来事や出会いは、目に見えない大きな意味で繋がっていると感じ、人々を思いやる。,"非現実的, 責任回避",物事を「運命」で片付けてしまい、現実的な問題解決や個人の責任から目を背けることがある。
成長促進,Developer,人間関係構築力,他者の可能性を見出し、育む,"坤(地): 1.5, 離(火): 1.0, 兌(沢): 0.5","育成能力, 忍耐強さ",他者のどんな小さな成長や可能性も見逃さず、それを育むことに喜びとやりがいを感じる。,"過保護, おせっかい",相手の成長を願うあまり、過度に手助けをしたり、本人が望まない世話を焼いたりする。
調和性,Harmony,人間関係構築力,対立を避け、合意点を求める,"坤(地): 1.5, 兌(沢): 1.5","協調性, 対立の解消",争いや摩擦から практи的な価値を見出さず、人々の合意点を探ることで、穏やかな環境を築く。,"自己主張の欠如, 事なかれ主義",対立を恐れるあまり、自分の意見や本当の気持ちを表明できず、問題を先送りにしてしまう。
包含,Includer,人間関係構築力,輪から外れている人を招き入れる,"坤(地): 2.0, 兌(沢): 1.0","寛容さ, チームの結束",意識的に輪から外れている人々に目を向け、仲間として迎え入れることで、グループの輪を広げる。,"無差別, 判断力の欠如",「誰も排除しない」という信条が強すぎると、グループに害をなす人物さえも受け入れてしまう。
共感性,Empathy,人間関係構築力,他者の感情を自分のことのように感じる,"兌(沢): 1.5, 坎(水): 1.5","深い理解, 思いやり",他者の感情を自分のことのように感じ取り、言葉にならないニーズを汲み取った、心からのサポートができる。,"感情移入しすぎる, 精神的消耗",他者のネガティブな感情に引きずられ、精神的に消耗したり、感情の境界線が曖Orealになったりする。
親密性,Relator,人間関係構築力,深く誠実な一対一の関係を築く,"坎(水): 1.5, 坤(地): 1.5","信頼関係, 誠実さ",表面的な付き合いよりも、特定の相手との間に、本物で誠実な信頼関係を築くことに喜びを感じる。,"内輪意識, 排他性",親しい仲間を大切にするあまり、新しい人を受け入れず、排他的なグループを作ってしまうことがある。
ポジティブ,Positivity,人間関係構築力,熱意と明るさで周囲を元気づける,"離(火): 1.5, 兌(沢): 1.5","伝染する楽観性, 士気の向上",その人がいるだけで場が明るくなるような、寛大で前向きなエネルギーで、人々の心を軽くする。,"表面的な明るさ, 現実逃避",深刻な問題やネガティブな感情から目を背け、表面的な楽観主義でやり過ごそうとすることがある。
個別化,Individualization,人間関係構築力,一人ひとりのユニークな資質に注目する,"離(火): 1.0, 坎(水): 1.0, 兌(沢): 1.0","人材配置の妙, パーソナルな配慮",集団を「個人の集まり」として捉え、一人ひとりの個性や強みを見抜き、最適な役割を与える。,"全体像の軽視, 公平性の欠如",個人に注目するあまり、チーム全体の目標や、公平なルール作りを見過ごすことがある。
分析思考,Analytical,戦略的思考力,データと論理で物事の原因を探る,"坎(水): 1.5, 艮(山): 1.5","客観的, 論理的",感情や主観を排し、客観的なデータと論理に基づいて、物事の真実や本質的なパターンを証明する。,"行動しない, データへの過信",データが全て揃うまで行動に移せなかったり、数値化できない要素を軽視したりする。
原点思考,Context,戦略的思考力,過去を理解し、現在の文脈を知る,"坤(地): 1.5, 艮(山): 1.5","深い理解, 背景の把握",現在の状況を理解するために、その背景にある過去の出来事や文脈を振り返り、物語を読み解く。,"過去への固執, 変化への抵抗",過去の成功体験や前例に囚われ、新しいやり方や未来の変化を受け入れることが難しい。
未来志向,Futuristic,戦略的思考力,未来のビジョンを描き、人々を鼓舞する,"乾(天): 1.5, 巽(風): 1.0, 離(火): 0.5","ビジョン, インスピレーション",水平線の向こうに見える、より良い未来のビジョンを生き生きと描き出し、人々に希望とエネルギーを与える。,"現実離れ, 足元を見ない",未来の可能性に魅了されるあまり、それを実現するための「今、ここ」での地道なステップを軽視する。
着想,Ideation,戦略的思考力,新しいアイデアの繋がりを発見する,"巽(風): 2.0, 離(火): 1.0","創造性, 革新性",一見無関係に見える複数の概念を結びつけ、世界を新しい視点で見せる、シンプルで美しいアイデアを発見する。,"アイデア倒れ, 非現実的",次々と新しいアイデアを思いつくが、それを現実的な形に落とし込み、最後までやり遂げるのは苦手。
収集心,Input,戦略的思考力,情報やモノを収集し、保管する,"坤(地): 1.5, 艮(山): 1.5","物知り, リソースの豊富さ",好奇心に導かれ、情報、モノ、知識などを集めて保管する。それらがいつか役立つことを知っている。,"ため込みすぎる, 整理不能",集めること自体が目的となり、有益な情報とガラクタを区別できず、整理不能に陥る。
内省,Intellection,戦略的思考力,内面で深く思考し、考察する,"坎(水): 2.0, 艮(山): 1.0","思慮深さ, 自己認識",一人で静かに過ごす時間を好み、自らの内面で考えを巡らせることで、物事への理解を深める。,"行動しない, 考えすぎる",内省に没頭するあまり、現実的な行動に移すタイミングを逃したり、考えすぎて動けなくなったりする。
学習欲,Learner,戦略的思考力,学ぶプロセスそのものを楽しむ,"坎(水): 1.5, 艮(山): 1.5","成長が速い, 好奇心旺盛",「知らない状態」から「知っている状態」へ移行するプロセスそのものを楽しみ、常に新しいことを学び続ける。,"専門性の欠如, 器用貧乏",一つのことを極めるよりも、次々と新しいことを学ぶため、広く浅い知識で終わってしまうことがある。
戦略性,Strategic,戦略的思考力,複数ルートを考え、最適な道筋を見出す,"乾(天): 1.5, 坎(水): 1.0, 巽(風): 0.5","長期的視点, パターン認識",目の前の道だけでなく、目的地に至るまでのあらゆる選択肢と、その先の結果を瞬時にシミュレーションする。,"過度に複雑化, 計画変更の多さ",あらゆる可能性を考慮するあまり、物事を複雑にしすぎたり、より良い選択肢が見つかる度に計画を変更したりする。