卦番号,卦名,綜卦,錯卦,綜卦との関係性（裏の視点）,錯卦との関係性（対極の世界）,互卦,互卦との関係性,初爻変,初爻変との関係性,二爻変,二爻変との関係性,三爻変,三爻変との関係性,四爻変,四爻変との関係性,五爻変,五爻変との関係性,上爻変,上爻変との関係性,アーキタイプ（原型）,現代解釈の要約,出た時の気持ち,どうすればいい,相談すべき人,,,
17,沢雷随,18. 山風蠱,40. 雷水解,山風蠱（腐敗）と対。「腐敗」した状況があるからこそ、誰に「従う」べきかが問われる。,雷水解（解決）と対。既存の秩序に「従う」ことの対極は、困難な状況から「解放」されること。,53.風山漸,内側には物事が徐々に進展する（風山漸）象が隠されています。人に従う（随）ことは、短期的な損得ではなく、結果的に着実な進歩に繋がることを示唆します。,18.山風蠱,役職や考えが変わる時。古いもの（蠱）を改める変化の始まりです。固執せず流れに従えば、新しい道が開けます。,18.山風蠱,目先の利益や未熟な意見（小さい子）に従うと、本当に大切なもの（大きい人）を失います。従う相手を見極める重要性を示し、安易な追随は腐敗（蠱）を招きます。,3.水雷屯,確固たる指導者や大義に従えば、多少の犠牲を払っても求めるものを得られます。産みの苦しみ（屯）を乗り越えるには、信じるべきものに従う覚悟が必要です。,51.震為雷,人や時勢に従うことで収穫（震は動く・得る）がありますが、その動機が正しくなければ凶。誠実な心で従うことが信頼に繋がります。,25.天雷无妄,優れた人物や理念に誠意を尽くせば吉。真心から信じ従うことで、自然な成り行き（无妄）として良い結果がもたらされます。,45.沢地萃,最高の誠意を尽くして従うことで、その徳が天に通じます。人々が集い敬う（萃）ほどの中心人物となり、事を成し遂げられます。,"トレンドへの対応, フォロワーシップ, 時代の変化",時代の流れや他者の動きをよく見て、柔軟に対応する。ただし、盲従は危険。,好奇心、期待感。しかし、自分の価値観とのズレや、変化への追随についていけない焦りも感じる,盲従せず、本質を見極める。自分が従うべき人や理念を、慎重に選択する,その分野のインフルエンサー、経験豊富な先輩,,,
18,山風蠱,17. 沢雷随,39. 水山蹇,沢雷随（従う）と対。「腐敗」を立て直すには、旧弊に従わず、新しいリーダーに従う必要がある。,水山蹇（困難）と対。内部が「腐敗」している状況の対極は、外部からの障害によって「足踏み」させられる状況。,54.雷沢帰妹,内側には順序の正しくない関係（雷沢帰妹）が隠されています。物事が腐敗しきった（蠱）原因が、内側の不適切な秩序や関係性にあることを示唆します。,17.沢雷随,父が腐敗させた事柄を、子が正す時。先代の過ちを正すことで、危険はなくなり、最終的には吉。新しい流れに従う（随）べきです。,17.沢雷随,母が腐敗させた事柄を、子が正す時。ただし、断固として正道を守るべきで、中途半端は許されません。甘えを捨てて流れ（随）を変えるべきです。,50.火風鼎,父が腐敗させた事柄を正す。多少の後悔はあるが、大きな過ちにはならない。腐敗を正し、鼎の足を入れ替えるように組織を刷新します。,57.巽為風,父が腐敗させた事柄を、子が継いで称賛される。腐敗の原因を根本から絶ち、新しい風（巽）を吹き込むことで名声を得ます。,46.地風升,父祖の腐敗を正すのではなく、高尚な道に進む。世俗的な事柄から離れ、精神的な向上（升）を目指すことで道が開けます。,26.山天大畜,役人にならず、自分の徳を高めることに専念する。腐敗した世俗から離れ、天の徳を大きく蓄える（大畜）ことで、真の価値が生まれます。,"事業再生, 組織改革, 負の遺産の清算",親や先代から引き継いだ問題や、長年の腐敗に、断固として立ち向かう時。,使命感、責任感。しかし、痛みを伴う改革への抵抗や、解決の困難さに、時に無力感を感じる,問題を直視し、感情的にならず、根本的な解決を目指す。痛みを恐れない覚悟を持つ,改革のパートナー、コンサルタント、利害関係のない第三者,,,
19,地沢臨,20. 風地観,24. 地雷復,風地観（観察）と対。民衆に「臨む」リーダーは、常に民衆から「観察」される立場にある。,地雷復（回復）と対。陽気が伸びていく「成長期」の対極は、陰が極まり、陽気がようやく「回復」し始める時期。,24.地雷復,内側には一陽来復のエネルギーが隠されています。人々の上に臨む（臨）時、その根底には物事を回復させようとする強い意志があります。,20.風地観,仲間と共に臨めば吉。正しい道であれば問題ありません。広く人々を観察し（観）、志を同じくする者と協力すべきです。,33.天山遯,甘い言葉で臨むのはよくない。誠実さがなければ、人は離れていきます。賢者は危険を察知し、世から逃れます（遯）。,7.地水師,柔順な態度で臨む。問題ない。威圧的ではなく、人々を包み込むようなリーダーシップ（師）が求められます。,24.地雷復,全てを包容し、臨む。問題ない。王者にふさわしい態度。陰が極まり陽が復する（復）ように、寛容さが人々の心を掴みます。,11.地天泰,知恵をもって臨む。大君にふさわしい道で吉。その聡明な統治は、やがて泰平（泰）の世をもたらします。,54.雷沢帰妹,誠実さをもって臨めば吉。問題ない。誠意ある態度は、たとえ順序が正しくない状況（帰妹）であっても、最終的には良い結果に導きます。,"リーダーシップ, 教育, 成長期, 春",物事が大いに発展・成長する幸運期。リーダーが民に臨み、導く。,責任感、高揚感。育てる喜び。しかし、自分のやり方が正しいかという不安や、成長のプレッシャーも感じる,威圧せず、知恵と誠実さをもって導く。相手の成長を信じ、待つ姿勢も重要,優れた教育者、経験豊富なリーダー,,,
20,風地観,19. 地沢臨,23. 山地剝,地沢臨（臨む）と対。人々を正しく「観察」することが、正しく「臨む」ための前提条件となる。,山地剝（崩壊）と対。物事の本質を冷静に「観察」することの対極は、状況が見えず、全てが「崩壊」していく状態。,23.山地剥,内側には物事が剥がれ落ちる（山地剥）危機が潜んでいます。人々を観察する（観）のは、内なる崩壊の兆しに気づいているからです。,19.地沢臨,子供のような未熟な見方。小人には問題ないが、君子には恥。大所高所からではなく、眼前の状況に臨む（臨）だけの視野の狭さを示します。,34.雷天大壮,門の隙間から窺う。女性が固く正道を守るのに良い。視野は狭いが、自分の分を守るにはよく、力（大壮）を蓄える時です。,12.天地否,自らのこれまでの行いを観察し、進むべきか退くべきかを決める時。状況は閉塞（否）しており、冷静な自己分析が不可欠です。,23.山地剥,その国の光、すなわち優れた文化や人材を観察する時。賓客として遇されるのが良い。崩壊（剥）寸前の国にも、学ぶべき点があります。,8.水地比,自分自身を深く観察する時。進んでも退いても問題ない。自己の内面と向き合い、人々とどう親しむ（比）べきかを見つめ直します。,42.風雷益,その人の生き方を観察する時。君子であれば問題ない。人々の模範となる生き方は、社会に利益（益）をもたらします。,"市場調査, 自己分析, 現状把握",物事を注意深く観察し、本質を見抜く。他者を見るだけでなく、自己を省みる時。,冷静、客観的。しかし、情報を集めるだけで行動に移せないもどかしさや、自分の欠点と向き合う辛さを感じる,感情を排し、客観的に分析する。多様な視点を取り入れ、自分を省みる,データアナリスト、客観的な意見をくれる友人、コーチ,,,
21,火雷噬嗑,22. 山火賁,27. 山雷頤,山火賁（飾り）と対。障害を「噛み砕く」実質的な行動の裏には、物事を美しく見せる「飾り」の知恵がある。,山雷頤（養う）と対。障害を断固として「排除」することの対極は、慈しみ「養う」こと。硬と軟の対比。,39.水山蹇,内側には険しい困難（水山蹇）が隠されています。障害物を噛み砕く（噬嗑）力は、内なる艱難を乗り越えるために必要とされます。,22.山火賁,足枷をはめられ、足先が見えなくなる。軽い罰であり、大きな過ちにはならない。問題の初期段階で、見た目（賁）を飾る余裕はありません。,48.水風井,肉に鼻まで潜り込ませる。軽い罰。問題に深入りしすぎて、まるで井戸（井）に落ちたように身動きが取れなくなります。,27.山雷頤,干し肉を噛むが、毒にあたる。少し恥をかくが、大きな過ちではない。養う（頤）べきでないものに手を出した警告です。,25.天雷无妄,乾いた肉を噛み、金色の矢を得る。困難の中で正道を守れば、予期せぬ利（无妄の福）を得ます。,51.震為雷,金の矢を背負い、堅い骨を噛む。困難だが正道を守れば吉。雷（震）のような衝撃的な困難も、覚悟を決めれば乗り越えられます。,35.火地晋,耳たぶを失うほど、言うことを聞かない。凶。警告を無視し続けた結果、物事が進展（晋）するどころか、大きな罰を受けます。,"問題解決, 不正追及, 法と秩序",間に挟まった障害物や不正を「噛み砕き」、断固たる態度で問題を解決する。,正義感、怒り。障害を取り除きたいという強い意志。しかし、やり過ぎによる反発や、対立の激化を恐れる,感情的にならず、公正な裁きと根本解決を目指す。証拠に基づき、冷静に対処する,弁護士、監査役、公平な第三者,,,
22,山火賁,21. 火雷噬嗑,28. 澤風大過,火雷噬嗑（噛み砕く）と対。物事を美しく「飾る」ことの裏には、本質を損なう障害を「噛み砕く」という厳しい側面がある。,澤風大過（危機）と対。物事を美しく「飾る」余裕のある状態の対極は、組織の存亡に関わる「危機」に瀕している状態。,40.雷水解,内側には困難が雪解け水のように解消される（雷水解）象があります。物事を飾る（賁）のは、内面の困難が解決に向かっているからです。,21.火雷噬嗑,自分の足で歩くことを飾る。車を捨てて歩く。虚飾を捨て、障害物を噛み砕く（噬嗑）ように、実質を取るべきです。,47.沢水困,自分のひげを飾る。他人の装飾に頼らず、自立すべきです。虚飾に頼れば、沢の水が涸れる（困）ように、困窮します。,30.離為火,濡れて輝くように飾る。永遠に正しければ吉。その美しさは、火（離）のように内面から輝き出るものでなければなりません。,37.風火家人,粗末な贈り物だが、心はこもっている。白馬が駆けるように、飾り気はなくても、家族（家人）のような真心が大切です。,52.艮為山,白いだけの飾り。問題はない。全ての装飾を削ぎ落とし、山（艮）のように動じない、質実剛健な本質に還ります。,26.山天大畜,白いだけの飾り。究極的には吉。全ての虚飾を捨て、天の徳を大きく蓄える（大畜）ことが、最高の飾りとなります。,"ブランディング, デザイン, プレゼンテーション",表面的な美しさ（形式）と、その内にある本質との調和が問われる。,創造性、美的センスを発揮する喜び。しかし、本質が伴っていないことへの不安や、見せかけだけだと思われることへの恐れ,表面的な美しさに溺れず、内面の充実を伴わせる。形式と実質の調和を考える,クリエイティブディレクター、デザイナー、誠実な批評家,,,
23,山地剝,24. 地雷復,20. 風地観,地雷復（回復）と対。「崩壊」が極まるからこそ、次の「回復」の兆しが生まれる。陰極まれば陽となる、循環の関係。,風地観（観察）と対。物事が「崩壊」していく状況の対極は、全てを冷静に「観察」し、本質を見抜いている状態。,2.坤為地,内側には全てが陰の坤為地が潜んでいます。物事が剥げ落ちる（剥）のは、受容性（坤）が行き過ぎ、陰の力に全てが侵食されてしまった結果です。,24.地雷復,ベッドの脚が剥げ落ちる。正道を失い、凶。崩壊の始まりは、一陽来復（復）の兆しを失わせます。,43.沢天夬,ベッドの枠が剥げ落ちる。正道を失い、凶。さらに崩壊は進み、決断（夬）を迫られますが、時すでに遅しです。,27.山雷頤,仲間を失う。問題ない。周囲が剥げ落ちていく中で、自分を養う（頤）ことに専念し、孤立しても道を守ります。,4.山水蒙,魚の群れが、宮中の女官の寵愛を受けるように通過する。問題ない。崩壊の中にも、蒙昧（蒙）な者が時流に乗って利を得ることはあります。,52.艮為山,大きな果実が、まだ食べられずに残っている。君子は乗り物を得、小人は家を失う。最後の陽（果実）が残り、君子には再起の機会（艮）が、小人には破滅が訪れます。,35.火地晋,大きな果実が、まだ食べられずに残っている。君子は乗り物を得、小人は家を失う。最後の陽は、夜明けの光（晋）のように、次代への希望となります。,"時代の終わり, 衰退期, 組織解体",物事が下から徐々に剥がれ落ち、衰退していく。しかし、その先に再生の兆しあり。,喪失感、無力感、恐怖。変化に抵抗できないことへの諦め。しかし、その先に再生があるという希望も,無理な抵抗を避け、現状を受け入れる。次に備えて、守るべきもの（再生の種）を明確にする,事業再生の専門家、キャリアコンサルタント、精神的な支えとなる仲間,,,
24,地雷復,23. 山地剝,19. 地沢臨,山地剝（崩壊）と対。命が「回復」する前には、必ず古いものが「崩壊」する段階があることを示す。,地沢臨（成長）と対。どん底から「回復」する時期の対極は、勢いよく「成長」していく幸運期。,2.坤為地,内側は全てが陰の坤為地です。一陽来復の力は、母なる大地（坤）のエネルギーを源として生まれます。,2.坤為地,遠くまで行かずに復帰する。後悔はない。大吉。道に迷ってもすぐに引き返すことで、大地の安定（坤）を取り戻します。,36.地火明夷,満足して復帰すれば吉。その徳は、明知を地に隠す（明夷）賢者のように、内面に輝きます。,19.地沢臨,頻繁に復帰する。危ういが、問題はない。何度も道を踏み外しそうになるが、その都度立ち返ることで、人々の上に臨む（臨）徳を保ちます。,21.火雷噬嗑,仲間と復帰の道を歩む。一人だけ正しい道を行く。障害を噛み砕き（噬嗑）、孤独でも正道を進みます。,17.沢雷随,篤く信じて復帰する。吉。誠実な心で正しい流れに従う（随）ことで、道が開けます。,25.天雷无妄,道に迷って復帰する。凶。天災や人災がある。復帰の時機を誤ると、予期せぬ災い（无妄）を招きます。,"V字回復, 再生, 再出発, 冬至",困難の底から、陽の気が一つ戻り、希望の光が見え始める再起の時。,希望、安堵、新しい始まりへの期待感。しかし、また失敗するかもしれないという不安も伴う,焦らず、原点に立ち返る。誠実な努力を地道に積み重ね、信頼を回復する,同じ失敗を乗り越えた先輩、支援者、応援してくれるファン,,,
25,天雷无妄,26. 山天大畜,44. 天風姤,山天大畜（大いに蓄える）と対。自然体で無心な状態（无妄）の裏側には、意図的に力を蓄える戦略がある。,天風姤（出会い）と対。自らの内なる真実に従うことの対極は、外部からの予期せぬ出会いに対応すること。,53.風山漸,内側には物事が徐々に進展する（風山漸）象が隠されています。自然の成り行き（无妄）に従うことは、一見遠回りのようでも着実な進歩に繋がることを示します。,26.山天大畜,私心なく、あるがままに進めば吉。自然体で行動することで、天の徳を大きく蓄える（大畜）ことができます。,46.地風升,耕さずして収穫し、開墾せずして畑を得る。目先の利益を考えず自然に任せることで、かえって昇進（升）するような思わぬ利を得ます。,42.風雷益,思いがけない災難。繋いでいた牛を、通りすがりの人が盗んでいった。自然に任せても理不尽な災いが起こりますが、それは他人の利益（益）となっている側面もあります。,21.火雷噬嗑,正道を守り続ければ、問題はありません。たとえ災難があっても、障害を噛み砕く（噬嗑）ように乗り越えれば、道は開けます。,17.沢雷随,思いがけない病。薬も使わないのに、自然に治って喜ぶ。無理に対処しようとせず、時の流れに従う（随）ことで快方に向かいます。,12.天地否,行き過ぎれば災いがあります。自然の成り行きに任せるのも度を越せば、かえって物事が閉塞（否）する状況を招きます。,"自然体, 誠実, 理不尽な災難",偽りのない誠実な行動が基本。しかし、時に避けられない不運に見舞われることも。,混乱、不公平感、怒り。なぜ自分だけが、という無力感。しかし、その中でも誠実さを保とうとする意志,感情的にならず、状況を客観的に把握する。私心なく、自然体でいることで、道が開けるのを待つ,信頼できる友人、カウンセラー、法的な専門家,,,
26,山天大畜,25. 天雷无妄,41. 山沢損,天雷无妄（自然体）と対。力を「大いに蓄える」意図的な行動の裏には、無心で自然体な状態がある。,山沢損（損なう）と対。「大いに蓄える」ことの対極は、自らを「損なう」ことで全体を益すること。,54.雷沢帰妹,内側には順序の正しくない関係（雷沢帰妹）が隠されています。大きな力を蓄える（大畜）中でも、内情には不正規な問題が潜んでいる可能性を示唆します。,25.天雷无妄,危険がある。中止するのが良い。無理に進もうとすれば、予期せぬ災い（无妄）を招きます。今は力を蓄える時です。,45.沢地萃,車の車軸が外れる。無理に進めない。人々が集う（萃）ことで力が分散し、かえって前進できなくなる状態です。,14.火天大有,良馬が疾走する。困難な中でも正道を守れば吉。その力は大きな富（大有）を生み出す原動力となります。,9.風天小畜,去勢した牡牛の角に横木を当てて、角が人を傷つけないようにする。大吉。力が強すぎると（小畜とは逆）、それを抑える工夫が必要です。,11.地天泰,去勢した豚の牙。吉。強大な牙を抜くことで、かえって泰平（泰）の世がもたらされます。力を適切にコントロールすることの重要性を示します。,18.山風蠱,天の大通りを進むように、障害なく進める。亨る。蓄えた力が頂点に達し、腐敗（蠱）した世の中を正すほどの力を発揮します。,"人材育成, 研究開発, 自己投資",力を内に蓄え、知識や能力を養い、来るべき時に備える、戦略的な準備期間。,期待感、成長への喜び。しかし、すぐに結果が出ないことへの焦りや、投資が正しいかという不安,短期的な成果を求めない。明確なビジョンを持ち、適切な抑制と指導の下で、着実に育む,優れた指導者、投資家、長期的な視点を持つパートナー,,,
27,山雷頤,28. 澤風大過,21. 火雷噬嗑,澤風大過（異常事態）と対。正しく「養う」ことの裏側には、組織が崩壊寸前の「異常事態」がある。,火雷噬嗑（噛み砕く）と対。慈しみ「養う」ことの対極は、障害を断固として「排除」すること。,2.坤為地,内側は全てが陰の坤為地です。物を養い育てる（頤）力は、全ての生命を育む母なる大地（坤）のエネルギーに基づいています。,28.沢風大過,自分の霊的な亀を捨てて、私の口を羨ましそうに見ている。凶。本質を忘れ、目先の欲望に走れば、度が過ぎた（大過）災いを招きます。,27.山雷頤,道理に背いて養いを求める。凶。十年経っても役立たず。正しい方法で養わなければ（頤）、その努力は実りません。,21.火雷噬嗑,道理に背いて養いを求める。凶。虎が獲物を狙うように貪欲な姿。その姿勢は、障害を噛み砕く（噬嗑）どころか、自らを滅ぼします。,42.風雷益,虎が獲物を狙うように、天下を養う。問題ない。大きな視野で万民の利益（益）を考えるなら、その姿勢は養いの道に適っています。,24.地雷復,その人のおかげで養われる。吉。大きな川を渡るのも良い。陰が極まり陽が復する（復）ように、人の助けで道が開けます。,23.山地剥,その人のおかげで養われる。危ういが吉。大きな川を渡るのも良い。ただし、その養いは、山が剥げ落ちる（剥）ような危うさを伴います。,"健康管理, 情報リテラシー, 教育",何を「口にするか」（食事、情報、言葉）の質と節度が、その人の運命を左右する。,自己管理への意識。しかし、情報過多による混乱や、自制心が続かないことへの自己嫌悪,質と節度を保つ。自分にとって本当に必要なもの（食事、情報、言葉）を見極める,専門家（医師、栄養士など）、信頼できる情報源、メンター,,,
28,澤風大過,27. 山雷頤,22. 山火賁,山雷頤（養う）と対。「異常事態」に陥っている時は、まず自らを正しく「養い」、立て直す必要がある。,山火賁（飾り）と対。組織の構造が崩壊寸前の「危機」の対極は、表面を美しく「飾る」余裕のある状態。,1.乾為天,内側は全てが陽の乾為天です。大きなものが過ぎる（大過）のは、内に秘めたエネルギー（乾）が強大すぎるためです。,27.山雷頤,祭壇の敷物に、白い茅を用いる。問題ない。度が過ぎた状況では、物を養う（頤）ように、丁寧すぎるほどの慎重さが必要です。,28.沢風大過,枯れ木に若芽が出る。老夫が若い妻を得る。問題ない。度が過ぎた（大過）状況でも、意外な組み合わせから新しい可能性が生まれます。,48.水風井,棟木が下にたわむ。凶。ただし、他に助けがあれば問題ない。組織の要が重圧に耐えきれないが、井戸（井）から水を汲むように、助けがあれば持ちこたえます。,32.雷風恒,棟木が上に盛り上がる。吉。他に助けがあれば、恥をかく。度が過ぎた状況でも、柱がしっかりしていれば（恒）、持ち直すことができます。,47.沢水困,枯れ柳に花が咲く。老女が若い夫を得る。問題も名誉もない。あり得ないような状況でも、困窮（困）の中にかすかな希望があります。,43.沢天夬,水の中を渡ろうとして、額まで水に浸かる。凶。問題はある。無謀な行動は、決壊（夬）を招き、破滅に至ります。,"経営危機, 構造的欠陥, 極限状態",棟木がたわむような、常軌を逸した危機的状況。抜本的な対応が求められる。,危機感、プレッシャー、恐怖。しかし、これを乗り越えなければという強い覚悟も生まれる,常識にとらわれず、抜本的な対策と、覚悟ある決断を下す。時には非常の手段も厭わない,危機管理の専門家、信頼できる右腕、同じ危機を乗り越えた経営者,,,
29,坎為水,29. 坎為水,30. 離為火,視点を変えても同じ。危険や困難は、どこから見ても変わらない。,離為火（光明）と対。暗く危険な「困難」の対極は、明るく物事が明らかな「光明」。,27.山雷頤,内側には物を養う（山雷頤）象があります。困難（坎）の只中においても、生きるための営みや養いは続けられています。,29.坎為水,穴の中に、さらに穴がある。危険な穴に落ち込む。凶。困難（坎）が重なり、抜け出すことが非常に難しい状態です。,30.離為火,穴の中に危険がある。求めるものは少ししか得られない。困難（坎）の中で、わずかな光明（離）を求めるのが精一杯です。,60.水沢節,壁を作ったり取り壊したりする。臣下を縛る縄。三年間は何も得られない。困難から脱しようともがいても、節度（節）を失えば、かえって不自由に陥ります。,8.水地比,杯に入れた酒と、食べ物を盛った器一つ。質素な供え物で十分。困難な時は、人々と親しむ（比）のに、真心があれば贅沢は不要です。,48.水風井,穴はまだ満ちていない。丘のような状態。問題ない。困難な状況はまだ頂点に達しておらず、井戸（井）のように、まだ汲み上げる余地があります。,47.沢水困,黒と赤の縄で縛られ、茨の中に置かれる。三年間は何も得られない。困難の極みであり、沢の水が涸れる（困）ように、完全に手詰まりの状態です。,"深刻な危機, 困難, 試練, 忍耐",危険が幾重にも重なる、非常に厳しい状況。知恵と信頼、忍耐が試される。,絶望感、疲弊、孤独。しかし、その中で生き抜こうとする意志や、希望を求める気持ち,焦らず、知恵を働かせる。信頼できる助けを求め、内なる誠実さを失わない,信頼できる友人、専門家、同じ苦境にいる仲間,,,
30,離為火,30. 離為火,29. 坎為水,視点を変えても同じ。知性や文明の「輝き」は、普遍的な価値を持つ。,坎為水（困難）と対。物事が明らかな「光明」の対極は、先が見えない「困難」な状況。,28.沢風大過,内側には大きなものが過ぎる（沢風大過）象があります。燃え盛る火（離）の激しさは、常軌を逸したエネルギーを内包していることを示します。,30.離為火,足跡が乱れている。慎めば問題ない。火（離）のように物事が明らかになる時、行動が乱れがちですが、自重すれば大丈夫です。,29.坎為水,黄色い火。大吉。中庸の徳を守ることで、燃え盛る知性が最も輝き、困難（坎）を照らし出します。,22.山火賁,日が傾く時の火。ため息をつかなければ、老人の歌。そうでなければ凶。燃え盛る勢いにも翳りが見え始め、終末をどう飾る（賁）かが問われます。,13.天火同人,突然やってきて、燃え上がり、死に、捨てられる。悲嘆の声。激しく燃え上がったものは、人々と協調（同人）することなく、孤立して燃え尽きます。,55.雷火豊,王が出陣する。手柄を立て、首領を討ち取るが、従う者は問わない。吉。火の勢いが雷鳴を伴う豊（豊）かさとなり、大きな功績を上げます。,56.火山旅,王が出陣する。嘉賞される。首領を討ち、従う者は捕虜としない。火が山を焼く旅（旅）のように、その威光は遠くまで及びます。,"情報発信, 自己表現, ブランディング",物事が明るく輝き注目を集めるが、その輝きが何に依存しているか、本質を見抜く知恵が問われる。,高揚感、自己肯定感。しかし、その輝きが何に依存しているかを見失うことへの不安や、批判への恐れ,表面的な輝きに惑わされない。冷静な知性と洞察力を保ち、本質を見失わない,優れた批評家、ブランディングの専門家、信頼できる友人,,,
31,沢山咸,32. 雷風恒,32. 雷風恒,雷風恒（持続）と対。若々しい男女の自然な「感応」の裏には、その関係を「持続」させるという課題がある。,雷風恒（持続）と対。一瞬の「感応」の対極は、永く「持続」する関係性。始まりと継続の対。,44.天風姤,内側には予期せぬ出会い（天風姤）の象があります。男女の感応（咸）は、しばしば偶然の出会いから始まります。,32.雷風恒,足の親指が感応する。まだ影響は小さく、長くは続かない（恒）。,41.山沢損,ふくらはぎが感応する。凶。家にいれば吉。足が勝手に動き出すのは、身を損なう（損）元です。,39.水山蹇,太ももが感応する。進めば恥をかく。人に従って動く時であり、自分から動けば困難（蹇）に陥ります。,62.雷山小過,正しくあれば吉。後悔は消える。心が定まらず動揺するが、私欲なく感応すれば、少しやりすぎる（小過）くらいでも問題ありません。,33.天山遯,うなじが感応する。後悔はない。口先だけの感応であり、心は世間から逃れて（遯）います。,49.沢火革,あご、頬、舌が感応する。口先だけで人を動かそうとする。その言葉は旧弊を改める革命（革）の力にはなりません。,"共感, 影響力, コミュニケーション",強制ではなく、自然な引き合いや共感によって心が通じ合う。,ときめき、期待感。しかし、相手に受け入れられるかという不安や、関係が長続きするかという恐れ,表面的な言葉でなく、深い共感と誠実さで接する。無心で感じ合い、相手を受け入れる,感受性の豊かな人、良き聞き手,,,
32,雷風恒,31. 沢山咸,31. 沢山咸,沢山咸（感応）と対。夫婦のように「持続」する関係性の裏には、出会った頃の新鮮な「感応」がある。,沢山咸（感応）と対。永く「持続」する関係性の対極は、出会ったばかりの新鮮な「感応」。,43.沢天夬,内側には決断（沢天夬）の象があります。物事を恒久に続けるためには、時に不要なものを切り捨てる強い決断力が必要です。,31.沢山咸,深く恒久を求める。正しくても凶。問題がある。初めから完璧な恒久を求めすぎると、感応（咸）すら得られません。,42.風雷益,後悔は消える。恒久の徳は、自分に利益（益）をもたらすだけでなく、人にも分け与えることで完成します。,46.地風升,その徳を恒常的に保てない。恥を受ける。気分次第で態度を変えれば、昇進（升）はおろか、信用を失います。,28.沢風大過,田に獲物がいない。恒久の道においては、自分の役割（風）と相手の役割（雷）を混同すると、度が過ぎた（大過）失敗を招きます。,50.火風鼎,恒久の徳を激しく求める。凶。女性には良いが、男性には良くない。激しい感情は、安定した器（鼎）をひっくり返してしまいます。,34.雷天大壮,恒久の徳を激しく動かす。凶。恒常であるべきものを揺り動かせば、たとえ大きな力（大壮）があっても、破綻を招きます。,"持続可能性, ブランド, 安定した関係",変化の中で、変わらない原則を守り、物事を安定的に持続させることの重要性。,安定感、安心感。しかし、変化への対応が遅れることへの恐れや、マンネリ感,変化に適応しつつ、核となる原則を守る。習慣を見直し、改善を続ける,長期的な視点を持つパートナー、保守管理の専門家,,,
33,天山遯,34. 雷天大壮,53. 風山漸,雷天大壮（力強い前進）と対。「退く」ことの裏側には、常に「前進」する力が存在している。,風山漸（着実な前進）と対。世俗から賢明に「退く」ことの対極は、社会の中で着実に段階を上ること。,44.天風姤,内側には一つの陰が五つの陽と出会う（天風姤）象が隠されています。賢者が世間から逃れる（遯）のは、陰の力（小人）が勢いを増してきたのを、出会い頭に察知したからです。,34.雷天大壮,逃げ遅れれば危険です。進んではいけません。退くべき時に進むのは、自分の力を過信（大壮）している者の過ちです。,19.地沢臨,黄色い牛の革で固く縛られるように、しがらみに縛られて動けません。しかし、その固い意志は、人々が仰ぎ見る（臨）ほどのものです。,53.風山漸,しがらみに縛られて逃げるのは、病気になりそうで危険です。まずは足元を固め、徐々に（漸）退く準備をすべきです。,56.火山旅,君子は潔く退くので吉ですが、小人は執着を捨てられないので凶。賢者は退くべき時を知り、旅（旅）に出るように身軽に去ります。,31.沢山咸,見事に退くので、正しくあれば吉。その美しい引き際は、人々の心を打ち、感応（咸）させ、賞賛を浴びます。,13.天火同人,ゆったりと余裕をもって退くので、問題ありません。完全に世間から離れ、志を同じくする者（同人）と心穏やかに過ごす、理想的な隠遁です。,"戦略的撤退, リスク回避, 自己防衛",不利な状況から賢明に身を引き、無理に抵抗せず、自らを守る知恵。,敗北感、悔しさ。しかし、これ以上の損失を避けるための、冷静な判断も生まれる,感情的にならず、無益な争いを避ける。客観的なデータに基づき、戦略的に身を引く,戦略コンサルタント、信頼できるアドバイザー,,,
