卦番号,卦名,綜卦,錯卦,綜卦との関係性（裏の視点）,錯卦との関係性（対極の世界）,互卦,互卦との関係性,初爻変,初爻変との関係性,二爻変,二爻変との関係性,三爻変,三爻変との関係性,四爻変,四爻変との関係性,五爻変,五爻変との関係性,上爻変,上爻変との関係性,アーキタイプ（原型）,現代解釈の要約,出た時の気持ち,どうすればいい,相談すべき人,,,
34,雷天大壮,33. 天山遯,54. 雷沢帰妹,天山遯（撤退）と対。「力強い前進」の裏側には、常に「賢明な撤退」という選択肢がある。,雷沢帰妹（不自然な結合）と対。正々堂々とした「力強い前進」の対極は、秩序の乱れた不健全な状態。,43.沢天夬,内側には一つの陰を五つの陽が決断する（沢天夬）象が隠されています。盛大な力（大壮）は、時に不要なものを切り捨てる強い決断力に基づいています。,33.天山遯,つま先で進もうとする。進めば凶。確信がある。勢いだけの前進は、退く（遯）べき事態を招きます。,20.風地観,正しくあれば吉。盛大な力の内にあっても、驕らず状況をよく観察する（観）ことで、安泰を得られます。,11.地天泰,小人は力を使い、君子は網を使う。勢いに任せて進めば、羊が垣根に角を刺して動けなくなる。力を賢く使えば泰平（泰）の道が開けます。,43.沢天夬,羊が垣根に角を刺して動けなくなり、後悔は消える。力の過信が招いた失敗から学び、決断（夬）を新たにします。,16.雷地豫,羊をたやすく失う。後悔はない。盛大な力に驕り、備え（豫）を怠ったために、たやすく足元をすくわれます。,14.火天大有,羊が垣根に角を刺して動けなくなり、退くも進むもできない。艱難辛苦すれば吉。力の暴走は、大きな所有（大有）すら失いかねない状況を招きます。,"積極的な行動, 成長戦略, リーダーシップ",陽のエネルギーが満ち溢れ、力強く前進する。ただし、暴走への警告も含む。,高揚感、万能感。しかし、勢い余って暴走することへの恐れや、周囲への配慮が欠けること,驕らず、公正さを保つ。力強い行動と、それを律する知恵を両立させる,自分を客観的に見てくれる参謀、倫理観の強い人,,,
35,火地晋,36. 地火明夷,56. 火山旅,地火明夷（光明が傷つく）と対。太陽が昇るような「進展」の裏には、それが沈む「衰退」の時がある。,火山旅（旅）と対。安定した基盤の上での「進展」の対極は、安住の地がない「旅」の不安定さ。,39.水山蹇,内側には水と山の困難（水山蹇）が隠されています。日の出のように物事が進展する（晋）時も、内にはまだ解決すべき困難が残っています。,36.地火明夷,進もうとしても、押し戻される。正しくあれば吉。福を受けられないが、心配はない。進展の初めは、明知が地に隠れる（明夷）ように、妨害に遭います。,5.水天需,進もうとしても、押し戻される。正しくあれば吉。大きな福を母から受ける。進展を焦らず、時を待つ（需）ことで、大きな恵みを得られます。,23.山地剥,人々が信頼を寄せる。後悔は消える。その進徳は、山が剥げ落ちる（剥）ような状況をも好転させる信頼を集めます。,12.天地否,ネズミのように進む。正しくても危うい。閉塞（否）した状況を打破しようとする焦りは、危険を招きます。,16.雷地豫,進むも退くも、患うことはない。失うことを心配するな。王母から福を授かる。喜び（豫）をもって進めば、天佑を得られます。,21.火雷噬嗑,角を使って進む。自分の町を正す場合にのみ良い。危ういが吉。問題ない。強引な進展は、障害を噛み砕く（噬嗑）ように、内部の改革にのみ有効です。,"昇進, 成長, 才能開花",大地から太陽が昇るように、物事が順調に進み、発展していく幸運期。,達成感、喜び、自信。しかし、慢心や、次のステージへのプレッシャーも感じる,周囲への感謝を忘れず、謙虚さを保つ。現状に満足せず、努力を継続する,メンター、コーチ、次の目標を示してくれる人,,,
36,地火明夷,35. 火地晋,55. 雷火豊,火地晋（進展）と対。「光明が傷つく」暗黒時代の裏には、再び太陽が昇る「進展」の希望がある。,雷火豊（繁栄の極み）と対。「光明が隠される」困難な状況の対極は、全てが輝く「繁栄の極み」。,40.雷水解,内側には困難が雪解けのように解消される（雷水解）象があります。明知が傷つけられる（明夷）苦難は、次なる問題解決への序章です。,35.火地晋,明知が傷つけられ、左の翼を垂れて飛ぶ。君子は三日間食事をしない。困難の始まりは、進む（晋）べき道を一時的に見失わせます。,6.天水訟,明知が傷つけられ、左の太ももを負傷する。壮健な馬で救われる。吉。危機的状況でも、争訟（訟）に強い助けを得て、難を逃れます。,55.雷火豊,南へ狩りに行き、その首領を得る。急いで正すことはできない。暗黒の時代でも、豊（豊）かな成果を上げることはできますが、根本的な解決は困難です。,63.水火既済,箕子の場合。正道を守り通すことはできない。明知を隠し、一度は完成された（既済）秩序に従うふりをして、難を逃れました。,22.山火賁,光明が完全に地中に入り込む。初めは天に昇り、後には地に入る。見事に傷つき、その姿を飾る（賁）ことで、後世に名を残します。,15.地山謙,光明が完全に地中に入り込む。家の奥まで照らしたが、国や家を失う。その徳は謙虚（謙）に過ぎ、世を救うことはできませんでした。,"不遇な時期, 忍耐, 自己防衛",正義が迫害され、光明が隠される暗黒時代。知恵をもって身を守り、耐え忍ぶ。,悔しさ、無力感、怒り。しかし、その中で希望を失わず、耐え忍ぶ強い意志,無理に抵抗せず、知恵をもって身を守る。内なる光を保ち、時が来るのを待つ,同じ苦しみを分かち合える仲間、歴史や古典,,,
37,風火家人,38. 火沢睽,48. 水風井,火沢睽（対立）と対。「内なる和合」の裏側には、常に「外部との対立」の可能性が潜んでいる。,水風井（公共の井戸）と対。閉じた「家庭」という組織の対極は、誰でも利用できる「公共」の場。,64.火水未済,内側には物事が未完成（火水未済）である象が隠されています。家庭の秩序（家人）が保たれていても、社会的にはまだ課題が山積しています。,38.火沢睽,家の中に堅固な決まりを作る。後悔は消える。家庭内の不和（睽）を防ぐには、まずルールを定めることが重要です。,40.雷水解,主婦としての仕事に専念する。正しくあれば吉。家事を疎かにすれば、家庭内の問題は解決（解）しません。,13.天火同人,家族に対して厳しくしすぎると、後悔が残るが吉。女性や子供がふざけすぎても、最終的には良い。厳しさと寛容さのバランスが、人々を協調（同人）させます。,22.山火賁,王が家に来る。心配ない。吉。一家の主の徳が高ければ、その家は自然と飾られ（賁）、高貴な客を迎えることになります。,63.水火既済,誠実さと威厳があれば、究極的には吉。その徳は、完成された（既済）秩序のように、家庭を安定させます。,53.風山漸,誠実さと威厳があれば、究極的には吉。その徳は、木が山で育つように、徐々に（漸）家庭を繁栄させます。,"家族, 組織, 内部統制, チームワーク",家庭や組織の内なる秩序を確立し、和合を保つことが、全体の安定の基盤となる。,安心感、安定感。しかし、ルールが厳しすぎることへの息苦しさや、役割への不満も,明確な役割分担と、信頼に基づく温かいコミュニケーション。厳しさと寛容さのバランス,人事の専門家、経験豊富なリーダー,,,
38,火沢睽,37. 風火家人,47. 沢水困,風火家人（内なる和合）と対。「対立」している時は、まず「内なる秩序」を回復することが求められる。,沢水困（困窮）と対。互いに反発し合う「対立」の対極は、身動きが取れないほどの「困窮」。,63.水火既済,内側には火と水が調和し、完成された（水火既済）象があります。反目し合う（睽）外面とは裏腹に、内には和解へのポテンシャルが秘められています。,37.風火家人,後悔は消える。馬を失っても追いかけるな。自ずと帰ってくる。悪人を見ても近づくな。不和の始まりは、家庭（家人）のように静観すべきです。,39.水山蹇,主君と路地で出会う。問題ない。反目し合う中でも、偶然の出会いが困難（蹇）を乗り越えるきっかけになります。,41.山沢損,車は引かれ、牛は留まる。額に焼き印を入れられ、鼻をそがれる。始めと終わりが良くない。不和が極まると、互いに足を引っ張り合い、身を損ない（損）ます。,10.天沢履,後悔は消える。仲間が皮を噛みちぎるように協力してくれる。進めば問題ない。不和の中でも、信頼できる協力者がいれば、危険な道（履）も進めます。,54.雷沢帰妹,後悔は消える。主君が矢を射る。路地で出会うが、問題ない。不和な相手（帰妹）とも、誠意をもって向き合えば和解できます。,64.火水未済,豚が泥を背負い、多くの悪霊を車に乗せている。最初は弓を引くが、やがて弓を置く。敵意は、やがて未完成（未済）なりの和解に至ります。,"対立, 不和, コミュニケーションの困難",火は上へ、沢は下へ。心が通じ合わず、対立する。しかし、その先に和解の道を探る。,怒り、不信感、孤独。しかし、その中でも和解の道を探そうとする理性,感情的にならず、冷静に状況を判断する。共通の目的や、妥協点を探る対話を試みる,調停者、カウンセラー、利害関係のない第三者,,,
39,水山蹇,40. 雷水解,49. 沢火革,雷水解（解決）と対。「足踏み」する困難な状況の裏には、必ずそれが「解決」する時が待っている。,沢火革（革命）と対。外部からの障害によって「進めない」状況の対極は、内部から古いものを破壊して進む「革命」。,64.火水未済,内側には物事が未完成（火水未済）である象が隠されています。目の前の困難（蹇）は、まだ成し遂げられていない大きな目的の一部です。,40.雷水解,進めば困難、来れば称賛される。困難な状況から退き、問題を解決（解）する時です。,38.火沢睽,王の臣下が、困難に次ぐ困難に陥る。それは自分のせいではない。不和（睽）な人間関係が、自分とは関係なく困難を招きます。,31.沢山咸,進めば困難、戻って仲間と感応（咸）する。無理に進まず、内輪の協力に頼るべきです。,15.地山謙,進めば困難、来れば仲間と助け合う。謙虚（謙）な姿勢で助けを求めれば、道は開けます。,53.風山漸,大きな困難。友人が来る。困難の極みに、助けが徐々に（漸）現れます。,63.水火既済,進めば困難、来れば大きな功績。吉。大人に会うのが良い。困難を乗り越えれば、物事は完成（既済）し、大きな評価を得ます。,"行き詰まり, 障害, 進退両難",進むも退くも困難な、進退両難の状況。無理に進まず、助けを求める知恵が問われる。,絶望感、焦り、無力感。どうにもならないという諦め,焦って無理に進まない。信頼できる助けを求め、内省し、状況が変化するのを待つ,経験豊富なメンター、信頼できる友人、専門家,,,
40,雷水解,39. 水山蹇,50. 火風鼎,水山蹇（足踏み）と対。困難が「解決」する前には、必ず「足踏み」する苦しい時期がある。,火風鼎（安定・形成）と対。困難を「解決」し、解放されることの対極は、全てが「安定」し、確立された状態。,63.水火既済,内側には物事が完成（水火既済）した象が隠されています。困難が解ける（解）時というのは、すでに問題解決の道筋が内的に整っている状態です。,39.水山蹇,問題ない。困難（蹇）な状況から解放され、平穏を取り戻します。,37.風火家人,田で三匹の狐を捕まえ、黄色の矢を得る。正しくあれば吉。困難が解け、家庭（家人）に害をなす悪を取り除き、富貴を得ます。,7.地水師,荷物を背負いながら、立派な車に乗る。盗賊を招く。分不相応な振る舞いは、軍隊（師）を動かすような争いの元になります。,47.沢水困,自分の親指を解き放つように、仲間から信頼される。しがらみから解放され、困窮（困）した仲間を救うことができます。,16.雷地豫,身分の高い人が、城壁の上の鷹を射止める。全て良い。困難が解け、権力者は喜び（豫）をもって障害を取り除きます。,54.雷沢帰妹,公が、城壁の上の鷹を射止める。全て良い。困難が解け、その功績は、不正規な関係（帰妹）をも正当化するほどのものです。,"問題解決, 解放, 和解",冬の氷が解けるように、困難や障害が解消され、物事が好転し、自由と安堵が訪れる。,安堵感、解放感、喜び。新たな始まりへの希望,迅速かつ賢明に行動する。過去を許し、再発防止策を講じ、未来へ目を向ける,弁護士、コンサルタント、ファシリテーター,,,
41,山沢損,42. 風雷益,26. 山天大畜,風雷益（増益）と対。「損なう」ことの裏には、それによって誰かが「益する」という関係がある。,山天大畜（大いに蓄える）と対。戦略的に「減らす」ことの対極は、意図的に「蓄える」こと。,24.地雷復,内側には一陽来復のエネルギー（地雷復）が隠されています。何かを損ない、減らすことは、新しいものを生み出すための前向きな準備であることを示唆します。,42.風雷益,自分の用事を終えたらすぐに行く。問題ないが、どれだけ損なうべきか考えること。自分の身を損なうことは、やがて社会の利益（益）となって返ってきます。,31.沢山咸,正しくあれば問題ありませんが、進めば凶。自分を損なわずに、相手に利益を与えることはできません。無理に進まず、相手の感応（咸）を待つべきです。,61.風沢中孚,三人で行けば一人が減り、一人で行けば誠実な友を得る。集団から離れる（損なう）ことで、かえって本当の信頼関係（中孚）を築けることがあります。,60.水沢節,自分の病（欠点）を減らせば、すぐに喜びがあります。問題ありません。自分の悪い部分を損なうことで、節度（節）ある健全な喜びが手に入ります。,19.地沢臨,ある人が、十朋の価値がある高価な亀でこれを増やす。断れないほどの大吉。大きな犠牲（損）が、人々の上に立つ（臨）ほどの大きな利益をもたらします。,4.山水蒙,自分を損なうことなく、相手に利益を与える。問題なく、正しければ吉。進むのが良い。人を養い、家臣を得る。究極の損は、蒙昧（蒙）な人々を啓発し社会に貢献することです。,"コスト削減, 断捨離, 損して得取れ",「損して得取れ」。一時的な損失や削減が、長期的にはより大きな利益や健全化に繋がる。,喪失感、痛み。しかし、それによって本質が強化されることへの期待感,感情に流されず、目的を明確にして削減する。無駄を見極め、本質を強化する,経営コンサルタント、ファイナンシャルプランナー,,,
42,風雷益,41. 山沢損,25. 天雷无妄,山沢損（損なう）と対。他者を「益する」ためには、しばしば自分を「損なう」覚悟が必要となる。,天雷无妄（自然体）と対。意図的に他者を「益する」ことの対極は、無心で自然体な行動。,23.山地剥,内側には物事が剥げ落ちる（山地剥）象が隠されています。利益（益）を追求するあまり、足元が崩れるような危険が潜んでいることを示唆します。,41.山沢損,大きな事業を行うのに良い。大吉。問題ない。利益を得る時、その一部を社会のために損なう（損）覚悟があれば、大事業は成功します。,32.雷風恒,ある人が、十朋の価値がある高価な亀でこれを増やす。断れない。永遠に正しければ吉。王が上帝を祀れば吉。恒久（恒）的な利益は天意に適った行いから生まれます。,25.天雷无妄,凶事に利益を用いる。問題ない。誠実であれば、中庸の道を行き、公に認められる。誠実な利益は、予期せぬ災難（无妄）さえも乗り越える力になります。,27.山雷頤,中庸の道を行き、公に認められれば、国を遷すことにも従う。利益を得るだけでなく、天下を養う（頤）という高い視点を持つべきです。,3.水雷屯,誠意と恵みの心があれば、問題ない。大吉。誠実であれば、我が徳となる。利益を独占せず、産みの苦しみ（屯）にある人々にも分け与えるべきです。,20.風地観,誰にも利益を与えない。ある人がこれを撃つ。心を恒に保たなければ凶。利益を独占すれば、人々から非難され、よく観察（観）された上で攻撃されます。,"社会貢献(CSR), 人材育成, Win-Win",他者に利益を与え、全体として成長していく。与えることで、より多くを得る。,貢献する喜び、充実感。しかし、自己犠牲が過ぎることへの懸念や、偽善だと思われることへの恐れ,与えることで多くを得る、という視点を持つ。無私な貢献と、賢明な投資のバランス,NPO/NGO関係者、教育者、社会起業家,,,
43,沢天夬,44. 天風姤,15. 地山謙,天風姤（出会い）と対。悪しきものを「決断」して排除する裏側で、新たな出会いが生まれる。,地山謙（謙虚）と対。力強く障害を「打ち破る」ことの対極は、自らへりくだる「謙虚」さ。,1.乾為天,内側は全てが陽の乾為天です。決断（夬）の力は、内に秘めた純粋で力強いエネルギー（乾）から生まれます。,44.天風姤,つま先で進もうとする。勝てなければ恥をかく。準備不足での決断は、予期せぬ出会い（姤）に敗れるようなものです。,23.山地剥,驚き、叫ぶ。夕暮れに軍隊が来るが、心配ない。決断を迫られ動揺しても、それは山が剥げ落ちる（剥）ほどの危機ではありません。,5.水天需,頬骨に力が入る。凶。君子が毅然と一人で行き、雨に遭う。濡れるが怒りはない。問題ない。意地を張った決断は、時を待つ（需）べき状況を悪化させます。,34.雷天大壮,尻に肉がなく、歩きにくい。羊のように引かれていけば後悔は消える。聞いても信じない。決断力がなく、盛大な力（大壮）にただ流されていきます。,1.乾為天,決断すべき小人がいない。進めば問題ない。悪が全て去った理想的な状態（乾）であり、決断の必要すらありません。,28.沢風大過,声もなく叫ぶ。究極的には凶。決断の時機を逸し、声なき叫びを上げるのは、大きな過ち（大過）です。,"決断, 改革, 突破",最後の障害を打ち破る時。大胆な決断と、勇気ある行動が求められる。,高揚感、責任感。しかし、決断がもたらすリスクや、反対派からの抵抗への恐れ,独断を避け、情報を集め、公正さを保つ。覚悟をもって、勇気ある行動を取る,信頼できる参謀、法務アドバイザー,,,
44,天風姤,43. 沢天夬,16. 雷地豫,沢天夬（決断）と対。予期せぬ「出会い」は、それを受け入れるか、排除するかの「決断」を迫る。,雷地豫（準備された喜び）と対。予期せぬ「出会い」の対極は、準備された計画的な楽しみ。,1.乾為天,内側は全てが陽の乾為天です。偶然の出会い（姤）は、純粋なエネルギー（乾）の世界に初めて生じた変化であり、その影響は計り知れません。,43.沢天夬,金の車止めに繋ぐ。正しくあれば吉。進めば凶事を見る。痩せた豚でも暴れる。出会った陰の力を、決断（夬）をもって制御すべきです。,24.地雷復,厨房に魚がいない。問題ない。出会った陰の力はまだ小さく、一陽来復（復）のエネルギーを損なうほどではありません。,57.巽為風,尻に肉がなく、歩きにくい。危ういが、大きな過ちではない。出会った陰の力に心が揺れ動き、迷い（巽）が生じています。,50.火風鼎,瓜を杞の葉で包む。徳が内に秘められていれば、天から福が降ってくる。出会った陰の力を、鼎で煮るように包容し、昇華させます。,28.沢風大過,角で出会う。恥ずかしいが、問題ない。高慢な態度で出会うと、度が過ぎた（大過）恥をかきます。,1.乾為天,角で出会う。恥ずかしいが、究極的には問題ない。出会った陰の力を最後まで制し、純粋な世界（乾）を守り抜きます。,"偶然の出会い, 影響力, 誘惑",偶然の出会いが、大きな影響をもたらし始める。チャンスとリスクが混在する。,好奇心、ときめき。しかし、その出会いがもたらすリスクや、本質を見失うことへの恐れ,表面に惑わされず、冷静に相手や状況を判断する。慎重に行動し、自分を見失わない,信頼できる友人、メンター,,,
45,沢地萃,46. 地風升,28. 澤風大過,地風升（上昇）と対。人々が「集まる」ことで、物事が「上昇」していくエネルギーが生まれる。,澤風大過（危機）と対。人々が喜んで「結束」している状態の対極は、組織が崩壊寸前の「危機」。,53.風山漸,内側には物事が徐々に進展する（風山漸）象が隠されています。人々が集う（萃）のは、地道な努力が実を結び、徐々に評価されてきた結果です。,46.地風升,誠実だが最後まで貫けない。ある時は乱れ、ある時は集まる。握り拳を差し出せば、笑いに変わる。心配ない。進めば問題ない。集まっても混乱するが、誠意があれば昇進（升）します。,26.山天大畜,集まろうとしても、ため息をつく。問題ない。進めば恥はかかない。大きな力を蓄える（大畜）ためには、安易な集会に与しないことも必要です。,8.水地比,集まっても、ため息をつく。問題ない。進めば恥はかかない。心から親しめない（比）集まりであれば、無理に参加する必要はありません。,16.雷地豫,集まっても、誰もその地位を認めない。正しくあれば後悔は消える。喜び（豫）のない集まりでは、誰も中心人物を認めません。,12.天地否,ため息をつき、涙を流す。問題ない。集まった人々が、閉塞（否）した現状を共に嘆いています。,17.沢雷随,ため息をつき、鼻水をたらす。問題ない。指導者なき集まりで、ただ時の流れに従う（随）しかなく、嘆いている状態です。,"イベント, コミュニティ, チームビルディング",人々や資源が一箇所に集まり、喜びをもって結束することで、大きな力を生み出す。,一体感、喜び、高揚感。しかし、リーダーシップの不在による混乱や、同調圧力への懸念,明確な目的と、信頼に基づくリーダーシップで、衆をまとめる。個々の意見も尊重する,イベントプランナー、コミュニティマネージャー,,,
46,地風升,45. 沢地萃,27. 山雷頤,沢地萃（集まる）と対。着実に「上昇」していくことで、その人や組織の周りに人が「集まる」。,山雷頤（養う）と対。外へ向かって「成長」することの対極は、内なる自分を「養う」こと。,54.雷沢帰妹,内側には順序の正しくない関係（雷沢帰妹）が隠されています。昇進（升）の裏には、不正規な手段や人間関係が隠れている場合があります。,45.沢地萃,信頼を得て昇進する。大吉。人々が集い（萃）、その中心となることで、昇進の道が開けます。,25.天雷无妄,誠実であれば、夏の祭祀を行うのも良い。吉。私心なく（无妄）務めることで、昇進の機会が与えられます。,32.雷風恒,王が岐山で祭祀を行う。吉。問題ない。恒常的（恒）な徳が認められ、昇進します。,48.水風井,正しくあれば吉。階段を昇る。井戸（井）から水を汲み上げるように、着実な努力が昇進に繋がります。,18.山風蠱,昇進し続ける。問題ない。休まずに昇る。腐敗（蠱）した状況を改革しながら、昇進し続けます。,11.地天泰,暗闇の中で昇進する。休まないことが良い。夜道を昇るように、人が見ていない所での努力が、やがて泰平（泰）の世に繋がります。,"成長, 昇進, 段階的進歩",大地から木が育つように、地道な努力を通じて、着実に高みを目指していく。,達成感、自己肯定感。しかし、次のステージへのプレッシャーや、現状維持への誘惑,焦らず、基礎を固め、地道な努力を積み重ねる。目標を明確にし、学習を続ける,メンター、コーチ、キャリアコンサルタント,,,
47,沢水困,48. 水風井,38. 火沢睽,水風井（井戸）と対。「困窮」して全てが枯渇している状況の裏には、潤いを与える「井戸」がある。,火沢睽（対立）と対。身動きが取れず、エネルギーが枯渇した「困窮」の対極は、エネルギーが過剰で、互いに反発し合う「対立」。,37.風火家人,内側には家庭（風火家人）の象があります。困窮（困）した状況を支えているのは、家族のような身近な人々の絆です。,48.水風井,切り株に尻を乗せて困る。暗い谷間に入る。三年間は姿を見せない。困窮の始まりは、井戸（井）の底のように暗く、出口が見えません。,22.山火賁,酒食に困る。赤い祭服の役人が来る。祭祀を行うのが良い。進めば凶。困窮しても、見せかけを飾る（賁）のではなく、祈りを捧げるべきです。,29.坎為水,石に困り、茨に寄りかかる。家に入っても、妻の姿は見えない。凶。困難（坎）が重なり、安らぎの場所さえ失います。,40.雷水解,ゆっくりと来る。金の車に乗るが、恥をかく。問題はない。困難は解決（解）に向かいますが、性急な行動は恥を招きます。,6.天水訟,鼻切り、足切りの刑に遭う。赤い祭服の者に困しめられる。ゆっくりと喜びが来る。争訟（訟）に巻き込まれ、ひどい目に遭います。,58.兌為沢,蔓草に困しめられる。危ういと言うが、動けば後悔する。後悔があるなら、進むのが吉。困窮しても、喜悦（兌）の心で動けば、道は開けます。,"逆境, 困難, 忍耐, 危機",内外ともに困難が重なり、八方塞がり。困難の中で、本質を守る知恵が試される。,苦痛、無力感、孤独。しかし、その中で本質を守り抜こうとする強い意志,焦らず、希望を捨てない。信頼できる助けを求め、内なる誠実さを保つ,同じ逆境を乗り越えた人、カウンセラー、信頼できる友人,,,
48,水風井,47. 沢水困,37. 風火家人,沢水困（困窮）と対。人々に安定した恩恵を与える「井戸」の裏には、それが枯渇する「困窮」の危機が常にある。,風火家人（家庭）と対。誰でも利用できる「公共の井戸」の対極は、閉じた「家庭」という組織。,38.火沢睽,内側には火と沢が反目し合う（火沢睽）象があります。井戸（井）のように変わらない恵みも、一皮むけば内部対立を抱えていることがあります。,47.沢水困,井戸の泥を食べる。古い井戸には鳥も来ない。困窮（困）の極みであり、枯れた井戸からは何も得られません。,21.火雷噬嗑,井戸の底をさらうが、壊れた瓶のように誰も使わない。障害を噛み砕こう（噬嗑）としても、その努力は誰にも評価されません。,28.沢風大過,井戸を整備しても、誰も使わない。人の心が痛む。惜しいことだ。王が聡明であれば、共に福を受けられる。度が過ぎた（大過）不信感が、井戸を使えなくしています。,46.地風升,井戸が整備され、冷たい泉が飲める。井戸のように徳を積めば、地位は昇進（升）します。,57.巽為風,井戸の釣瓶が、縄も瓶も壊れていない。大吉。信頼できる。風（巽）のように、何度も繰り返し汲み上げられる、信頼できる井戸です。,5.水天需,井戸の口が覆われていない。誠実さがあれば、大吉。いつでも誰でも使える開かれた井戸は、人々が待ち望む（需）恵みです。,"インフラ, 安定供給, 地域貢献",井戸のように、人々に安定した恩恵をもたらし、そのために不断の努力が求められる。,安定感、使命感。しかし、改善を怠ることへの危機感や、縁の下の力持ちであることへの不満,継続的な改善とメンテナンスを怠らない。広く分かち合う、公共の精神を持つ,インフラエンジニア、保守管理者、NPO職員,,,
49,沢火革,38. 火沢睽,40. 雷水解,火沢睽（対立）と対。「革命」の前には、しばしば深刻な「対立」が存在する。,雷水解（解決）と対。古いものを破壊する「革命」の対極は、困難が自然に解けていく「解決」。,44.天風姤,内側には予期せぬ出会い（天風姤）の象が隠されています。革命（革）の動きは、しばしば偶然の出来事や新たな勢力との出会いから始まります。,50.火風鼎,黄色い牛の革で固く縛るように、軽率な行動はできません。革命の初期は、鼎の足を固めるように、まず足元を慎重に固めるべきです。,4.山水蒙,機が熟したその日になってから、これを改革します。進めば吉。機を待って実行すれば、蒙昧（蒙）な状態を啓発できます。,63.水火既済,進めば凶。正しくても危うい。改革の言葉が三度なされて、ようやく信じられます。焦らず、物事が整う（既済）のを待つように慎重に進めるべきです。,55.雷火豊,後悔は消え、人々が信じて従います。天命を改める時です。吉。その改革は、雷鳴と共に豊かな（豊）成果をもたらします。,13.天火同人,大人が虎のように模様を鮮やかに変える。占うまでもなく、人々は信じます。リーダーの自己変革に、人々は協調（同人）して従います。,31.沢山咸,君子は豹のように模様を変え、小人は顔つきを変えるだけ。進めば凶。家にいれば吉。表面的な改革は失敗します。真の改革は人々の心を感応（咸）させなければなりません。,"革命, 変革, 抜本的改革",古いものを根本から変え、新しいものを創り出す。タイミングと覚悟が重要。,使命感、高揚感。しかし、変化への抵抗や、破壊を伴うことへの痛みや恐れ,目的を明確にし、適切なタイミングを見計らう。人々の信頼を得て、覚悟をもって断行する,革命家、改革派リーダー、コンサルタント,,,
50,火風鼎,37. 風火家人,3. 水雷屯,風火家人（家庭）と対。公的な器である「鼎」の裏には、私的な「家庭」の秩序がある。,水雷屯（産みの苦しみ）と対。全てが「安定」した状態の対極は、混沌とした「始まり」。,43.沢天夬,内側には不要なものを決断する（沢天夬）象が隠されています。安定した器である鼎も、時には古いものを捨て、中身を入れ替える決断が必要です。,49.沢火革,鼎の足が逆さになる。悪いものを出すのに良い。まず旧弊を洗い出す（革）ことが、新しいものを煮るための第一歩です。,3.水雷屯,鼎に中身がある。我が敵に病があるが、私を討つことはできない。吉。鼎が安定していれば、産みの苦しみ（屯）のような外部の混乱に影響されません。,18.山風蠱,鼎の耳の形が変わる。その働きが滞る。美味しい雉の料理も食べられない。凶。鼎の重要な部分が壊れれば、腐敗（蠱）したものを正すこともできません。,44.天風姤,鼎の足が折れる。公の料理をひっくり返し、体裁を損なう。凶。鼎の足が折れるのは、予期せぬ出会い（姤）による災難です。,32.雷風恒,鼎に、黄色い耳と金の環が付く。正しければ良い。鼎の価値は、恒久（恒）的に使える堅牢さと信頼性によって高まります。,14.火天大有,鼎に、玉の環が付く。大吉。問題ない。鼎が最高の装飾を施されるように、その徳と機能は、大きな所有（大有）の象徴となります。,"組織構築, 安定, 文化形成",組織や文化が、鼎のように安定した形を取り、その価値が確立される。,安定感、達成感。しかし、官僚主義や硬直化への懸念,各要素が連携し、本質を養い、社会に貢献する。明確な理念と、それを体現するシステムを作る,創業者、人事責任者、組織開発コンサルタント,,,
