卦番号,卦名,綜卦,錯卦,綜卦との関係性（裏の視点）,錯卦との関係性（対極の世界）,互卦,互卦との関係性,初爻変,初爻変との関係性,二爻変,二爻変との関係性,三爻変,三爻変との関係性,四爻変,四爻変との関係性,五爻変,五爻変との関係性,上爻変,上爻変との関係性,アーキタイプ（原型）,現代解釈の要約,出た時の気持ち,どうすればいい,相談すべき人,,,
51,震為雷,51. 震為雷,57. 巽為風,視点を変えても同じ。「衝撃」は、どこから見ても変わらない衝撃である。,巽為風（柔軟な影響）と対。突発的で力強い「衝撃」の対極は、穏やかで浸透する「影響」。,39.水山蹇,内側には険しい困難（水山蹇）が隠されています。雷（震）のような衝撃的な出来事は、しばしば困難な状況から生まれます。,52.艮為山,雷が轟く時、恐れおののくが、後には笑い声が上がる。吉。衝撃的な出来事も、山（艮）のように動じず受け止めれば、福に転じます。,57.巽為風,雷が来て危うい。億万の富を失い、九つの丘に登る。追いかけるな。七日もすれば得られる。衝撃で富を失っても、風（巽）のようにしなやかに時を待てば、回復します。,24.地雷復,雷が鳴り、呆然とする。雷に従って動けば、災いはない。衝撃的な状況でも、一陽来復（復）のエネルギーに従えば、道を踏み誤りません。,17.沢雷随,雷が鳴り、泥沼に落ち込む。進退窮まる。しかし、状況に従う（随）ことで、泥沼から抜け出すことができます。,21.火雷噬嗑,雷が来て、危険がある。億万の富を失うことはないが、やるべきことがある。衝撃的な困難は、噛み砕くべき障害（噬嗑）です。,16.雷地豫,雷が鳴り、不安げに周りを見回す。進めば凶。雷のせいで心が乱れている。喜び（豫）に浮かれず、慎重になるべきです。,"衝撃, 急変, 危機管理",予期せぬ衝撃的な出来事。その中で冷静さを保ち、迅速に行動することが問われる。,驚き、恐怖、混乱。しかし、これを乗り越えようとする覚醒や、 adrenaline rush,恐怖に囚われず、迅速かつ冷静に行動する。情報を正確に把握し、最優先事項を決定する,危機管理の専門家、経験豊富なリーダー,,,
52,艮為山,52. 艮為山,15. 地山謙,視点を変えても同じ。「静止」は、どこから見ても変わらない静止である。,地山謙（謙虚）と対。独り静かに「止まる」ことの対極は、社会の中で他者と関わる「謙虚」さ。,40.雷水解,内側には困難が雪解けのように解消される（雷水解）象があります。山のように動かない（艮）のは、内なる問題がすでに解決されているからです。,51.震為雷,足の指で止まる。問題ない。永遠に正しければ良い。動き（震）を最小限に留め、静止することが肝要です。,58.兌為沢,ふくらはぎで止まる。その者を救えない。その心は穏やかでない。止まるべき時に止まれず、喜び（兌）に引かれて動けば、人を救うことはできません。,22.山火賁,腰で止まる。背骨が裂ける。危うい。心が燻る。体の中心で無理に止まると、内面を飾る（賁）余裕もなく、身を滅ぼします。,18.山風蠱,体で止まる。問題ない。全身の動きを止めることで、腐敗（蠱）した状況から距離を置きます。,23.山地剥,あごで止まる。言葉に秩序がある。後悔は消える。口を慎み、言葉を止めることで、剥げ落ちる（剥）ような災いを防ぎます。,56.火山旅,篤く止まる。吉。山の如き静止を極めれば、旅（旅）の終わりも安泰です。,"静止, 休息, 自己抑制",無理に進まず、一旦立ち止まり、内省し、力を蓄えることの重要性。,静けさ、落ち着き。しかし、行動できないことへの焦りや、停滞していることへの不安,無為な停滞を避ける。目的を持った休息と内省を行い、次の行動へのエネルギーを蓄える,コーチ、カウンセラー、瞑想指導者,,,
53,風山漸,54. 雷沢帰妹,33. 天山遯,雷沢帰妹（不自然な結合）と対。正しい順序で「着実に進む」ことの裏側は、順序を無視した混乱。,天山遯（撤退）と対。社会の中で段階的に「進む」ことの対極は、世俗から「退く」こと。,64.火水未済,内側には物事が未完成（火水未済）である象が隠されています。物事が徐々に進展する（漸）のは、まだ完成に至っていないからです。,54.雷沢帰妹,水辺に徐々に進む。子供が危うい。言葉はあるが、問題ない。進展の初めは、順序を間違え（帰妹）、危うさを伴います。,54.雷沢帰妹,岩の上に徐々に進む。飲食を楽しみ、和らぐ。吉。進展が安定し、順序が正しくない関係（帰妹）でも、宴を楽しむ余裕が生まれます。,33.天山遯,陸地に徐々に進む。夫は征って帰らず、妻は妊娠するが育てられない。凶。盗賊を防ぐのに良い。進むべきでない時に進めば、世から逃れる（遯）べき事態を招きます。,52.艮為山,木の上に徐々に進む。その止まるべき枝を得る。問題ない。進展の過程で、山（艮）のように安住できる場所を見つけます。,39.水山蹇,雲の中に徐々に進む。その羽は、儀式の舞の道具として用いられる。吉。進展の極みは、困難（蹇）を乗り越え、天にまで達します。,37.風火家人,雲の中に徐々に進む。その羽は、儀式の舞の道具として用いられる。吉。その進徳は、家庭（家人）の誉れとなります。,"着実な成長, 段階的進歩, 婚姻",焦らず、段階を踏んで、物事をゆっくりと、しかし確実に進めることの価値。,安定感、将来への期待。しかし、プロセスが遅いことへのもどかしさ,焦らず、段階を踏む。正しい順序とプロセスを尊重することが、確実な成功に繋がる,プロジェクトマネージャー、経験豊富な先輩,,,
54,雷沢帰妹,53. 風山漸,34. 雷天大壮,風山漸（着実な前進）と対。「不自然な結合」の裏側には、本来あるべき「正しい順序」がある。,雷天大壮（大いなる力）と対。秩序が乱れた「不健全な状態」の対極は、正々堂々とした「力強い状態」。,63.水火既済,内側には物事が完成（水火既済）した象があります。順序の正しくない結婚（帰妹）も、一度成立すれば、完成された形として扱われます。,53.風山漸,妹が嫁ぐが、側室としてである。足の不自由な人が歩ける。征けば吉。不正規な始まりでも、徐々に（漸）進めば道は開けます。,53.風山漸,目の見えない人が見える。隠者のように固く正道を守るのに良い。不遇な状況でも、徐々に（漸）本質が見えるようになります。,19.地沢臨,妹が嫁ぐが、身分の低い召使いとしてである。一度は妾として嫁ぐ。不遇な立場でも、人々の上に臨む（臨）時が来るかもしれません。,58.兌為沢,嫁入りを遅らせる。遅れても、良い時期がある。喜び（兌）の時を待つことで、より良い縁を得られます。,38.火沢睽,帝乙が妹を嫁がせる。正室の袖の方が、側室の袖よりも立派である。月が満月になれば吉。不和（睽）な力関係も、時が満ちれば逆転します。,40.雷水解,かごには実がなく、羊を刺しても血が出ない。問題ない。不正規な関係の結末は、困難が解ける（解）ように、虚しいものです。,"不適切な関係, 時期尚早, 混乱",本来の順序から外れた、時期尚早な行動や、不適切な関係がもたらす混乱。,興奮、魅力。しかし、その関係が正しくないことへの罪悪感や、将来への不安,感情に流されず、倫理観を保つ。本質を見極め、長期的な視点で、正しい調和を目指す,信頼できる友人、メンター、カウンセラー,,,
55,雷火豊,56. 火山旅,36. 地火明夷,火山旅（旅）と対。「繁栄の極み」にある状態の裏側は、安住の地がない「旅人」の孤独。,地火明夷（光明の隠蔽）と対。全てが輝く「繁栄」の対極は、光が地に隠れる「暗黒時代」。,28.沢風大過,内側には大きなものが過ぎる（沢風大過）象があります。盛大で豊か（豊）な状態は、一歩間違えば常軌を逸した（大過）事態に陥る危険をはらんでいます。,56.火山旅,その配偶者に会う。十日間は問題ない。進めば、尊敬されることがある。豊かな時に、よきパートナー（旅の仲間）と出会います。,59.風水渙,その日覆いが大きい。日中に北斗七星が見える。進めば、疑われ病気になる。誠実であれば通じる。豊かさに目がくらみ、物事の本質が散漫（渙）になります。,36.地火明夷,その旗指物が大きい。日中に暗い星が見える。右腕を折る。問題ない。豊かさの頂点で、明知が傷つけられる（明夷）ような災難に見舞われます。,49.沢火革,その日覆いが来る。日中に北斗七星が見える。吉なる主君に会う。吉。暗雲が去り、旧弊を改める（革）賢明なリーダーに出会います。,30.離為火,美しい模様が来る。祝福と名誉がある。吉。その豊かさは、火（離）のように内面から輝き出る才知と文明に基づいています。,62.雷山小過,その家を豊かにし、家族を覆い、門を覗けば、ひっそりとして人がいない。三年間姿を見ない。凶。物質的な豊かさだけを求めると、少しやり過ぎて（小過）、孤立を招きます。,"繁栄の頂点, 豊かさ, 慢心への警告",物事が最高潮に達した、豊かな状態。しかし、その光の裏にある陰りへの警告。,達成感、万能感、幸福。しかし、この状態が永遠ではないことへの恐れや、慢心への警戒,公正な分配を心がける。常に変化の兆しに警戒し、次のステージへの準備を怠らない,資産管理者、信頼できるアドバイザー,,,
56,火山旅,55. 雷火豊,35. 火地晋,雷火豊（繁栄）と対。安住の地がない「旅人」の状況の裏には、全てが満ち足りた「繁栄」がある。,火地晋（進展）と対。不安定な「旅」の対極は、安定した基盤の上での順調な「進展」。,28.沢風大過,内側には大きなものが過ぎる（沢風大過）象があります。旅（旅）という不安定な状態は、常に常軌を逸した（大過）危険と隣り合わせです。,55.雷火豊,旅人がこせこせしている。これが災いを招く。旅の始まりに、些細なことにこだわると、豊かな（豊）はずの旅路が台無しになります。,60.水沢節,旅人が宿屋に泊まる。懐に資金を抱き、若い召使いを得る。正道を守る。旅の途中で、節度（節）を守り、安全な場所を確保します。,30.離為火,旅人が宿屋を焼く。その召使いを失う。危うい。旅先での怒り（離）は、全てを失う原因になります。,50.火風鼎,旅人が仮の宿に泊まる。その資金と斧を得る。私の心は穏やかでない。旅先で利益を得ても、その心は鼎で煮られるように落ち着きません。,35.火地晋,雉を射て、一本の矢を失う。究極的には、称賛と官位を得る。旅先での小さな損失が、やがては日の出（晋）のような大きな成功に繋がります。,52.艮為山,鳥がその巣を焼かれる。旅人が初めは笑い、後には泣き叫ぶ。牛をたやすく失う。凶。旅の終わりに、山（艮）のように安住できるはずの場所を失います。,"変化, 適応, 孤独, 異郷",慣れない環境での、孤独で不安定な状況。慎重さと適応能力が試される。,不安、孤独感、不安定さ。しかし、新しい環境への好奇心や、自己の成長への期待,慎重さと礼儀を忘れず、目的を見失わない。自分を律し、小さな成功体験を積み重ねる,同じ経験を持つ先輩、現地の協力者、コーチ,,,
57,巽為風,57. 巽為風,51. 震為雷,視点を変えても同じ。柔軟な影響力は、どこから見ても変わらない。,震為雷（衝撃）と対。繰り返し浸透していく「柔軟な影響」の対極は、一度きりの「突発的な衝撃」。,38.火沢睽,内側には火と沢が反目し合う（火沢睽）象が隠されています。風のように従順な（巽）姿勢の裏には、実は内心の不和や葛藤が隠されていることを示します。,58.兌為沢,進むべきか退くべきか、武人のように決然とすべき。迷い（巽）の初めには、ただ喜悦（兌）に流されるのではなく、毅然とした態度が必要です。,51.震為雷,祭壇の下で、多くの専門家の意見を用いるのが良い。吉。見えない場所で人の意見をよく聞くことで、雷（震）のような天啓を得られます。,44.天風姤,頻繁に人の意見に従うばかりでは、恥をかきます。自分の意見がなく、人に従うばかりでは、予期せぬ不覚（姤）を取ります。,18.山風蠱,後悔は消えます。田で三種類の獲物を得るような大きな功績を上げるでしょう。その功績は、腐敗（蠱）した状況を正すほどのものです。,48.水風井,正しくあれば吉。後悔は消え、全てが良いでしょう。風のように柔軟に、井戸（井）のように根本から物事を改めることで、状況は好転します。,9.風天小畜,祭壇の下に伏し、旅費と武器を失う。正しくても凶。従順すぎた結果、わずかな力も蓄えられず（小畜）、全てを失います。,"影響力, 柔軟性, 浸透, 優柔不断",風のように、目に見えないが、確実に物事の奥深くまで入り込み、影響を与える。,有能感、自信。しかし、自分の意見がない「優柔不断」だと思われることへの恐れ,独断を避け、謙虚に、そして間接的な力で物事を動かす。人の意見をよく聞き、根回しをする,交渉人、ファシリテーター、コンサルタント,,,
58,兌為沢,58. 兌為沢,51. 震為雷,視点を変えても同じ。「喜び」は、どこから見ても変わらない喜びである。,艮為山（静止）と対。人と和やかに語り合う「喜び」の対極は、山のように動かず「沈黙」すること。,37.風火家人,内側には風と火による家庭（風火家人）の象があります。喜び（兌）は、家庭のような和やかな人間関係から生まれることを示唆します。,57.巽為風,和やかな喜び。吉。その喜びは、風（巽）のように周囲に広まっていきます。,52.艮為山,誠実な喜び。吉。後悔は消える。山（艮）のように動じない、真心からの喜びは、後悔を残しません。,60.水沢節,来るのを待つ喜び。凶。相手から喜びが来るのを待っているだけでは、節度（節）を失い、良い結果になりません。,47.沢水困,不純なもの（商）を喜ぶが、まだ安泰ではない。危険から離れれば、喜びがある。不健全な喜びは、困窮（困）を招きます。,17.沢雷随,引き込むような喜び。よこしまな道に引きずり込もうとする喜びです。時の流れ（随）に身を任せる前に、その誘いが正しいか見極めるべきです。,10.天沢履,引き出すような喜び。まだ定まっていない。危険な道（履）の先にある喜びであり、油断は禁物です。,"喜び, コミュニケーション, 共感",人々が喜びを分かち合う。しかし、口先だけの軽薄な喜びへの警告も含む。,楽しさ、喜び、解放感。しかし、口先だけの軽薄な関係になることへの懸念,軽薄な言動を避け、真心をもって交流する。相手の話をよく聞き、共感する,ファシリテーター、カウンセラー、友人,,,
59,風水渙,48. 水風井,21. 火雷噬嗑,水風井（井戸）と対。困難を「散らす」ことの裏側には、安定した供給源である「井戸」の存在がある。,雷火豊（繁栄）と対。物事が散り散りになる「離散」の対極は、全てが集まり満ち溢れる「繁栄」。,27.山雷頤,内側には物を養う（山雷頤）象があります。物が散り散りになる（渙）のは、人々を養うための再分配や、新しい秩序を作るための過程である場合があります。,60.水沢節,馬を助けて、盛んにする。吉。混乱（渙）した状況を収拾するには、まず足元を助け、節度（節）を取り戻すことが重要です。,55.雷火豊,散り散りになる時に、自分の机に向かって走る。後悔は消える。混乱の中でも、自分の本分や豊か（豊）な基盤に立ち返れば、道を見失いません。,6.天水訟,自分の体を散らす。後悔はない。私利私欲を捨てて尽くすことで、争い事（訟）を避けることができます。,4.山水蒙,その群れを散らす。大吉。丘のように大きなものを散らす。常人には考えつかないこと。蒙昧（蒙）な群衆を解き放ち、新しい秩序を作ります。,29.坎為水,汗をかくように、大声で叫ぶように、その危機を知らせる。王のいる所を散らす。問題ない。困難（坎）な状況を、大声で知らせて危険から遠ざけます。,61.風沢中孚,その血を散らし、遠くへ去り、声を出して難を逃れる。問題ない。自らを犠牲にして（血を散らし）、誠（中孚）をもって人々を救います。,"困難の解消, 分散, 再生",固まった困難や停滞を「散らし」、新しい流れを生み出す、問題解決の卦。,希望、解放感。しかし、一度壊れたものを再建する困難さや、痛みを伴うことへの覚悟,私心を捨て、大胆な発想と行動で、新しい流れを生み出す。過去のしがらみを断ち切る,改革派リーダー、コンサルタント、起業家,,,
60,水沢節,61. 風沢中孚,55. 雷火豊,風沢中孚（真心）と対。外面的な「節度」やルールの裏側には、内面的な「真心」がなければならない。,火山旅（不安定な旅）と対。ルールの中で行動を「制限」することの対極は、定住せずに行き先も定めない「不安定な旅」。,27.山雷頤,内側には物を養う（山雷頤）象があります。節度（節）とは、限りある資源を賢く使い、養い育てるための知恵です。,59.風水渙,門や庭から出ない。問題ない。節度を守るべき時に出歩けば、物事が散漫（渙）になります。,56.火山旅,門から出ない。凶。時機を逸する。節度を守るべきでない時に閉じこもっていると、旅（旅）に出る好機を失います。,58.兌為沢,節度を守らない者は、ため息をつくことになる。問題ない。節度を失い、快楽（兌）に溺れれば、後悔することになります。,19.地沢臨,安心して節度を守る。亨る。人々の上に立つ（臨）者は、自らが模範となって節度を守るべきです。,61.風沢中孚,甘い節度。正しくあれば吉。進めば恥をかく。心地よいだけの節度は、真心（中孚）に欠け、長続きしません。,29.坎為水,苦しい節度。正しくても凶。後悔は消える。厳しすぎる節度は、人々を困難（坎）に陥れ、かえって後悔を残します。,"節度, 規律, 抑制, バランス",物事の行き過ぎを防ぐための、適切な制限の重要性。バランスが鍵。,安定感、自己管理できている感覚。しかし、過剰な制約による息苦しさや、楽しめないことへの不満,過剰や不足を避け、常に適切なバランスを保つ。目的を明確にし、守るべきルールを決める,コーチ、トレーナー、信頼できる上司,,,
61,風沢中孚,62. 雷山小過,62. 雷山小過,雷山小過（異常事態）と対。「真心」による調和の裏側には、それが崩れる「異常事態」の危機がある。,雷山小過（小さな過ち）と対。真心を尽くす「誠実」の対極は、実体が伴わない「少しの行き過ぎ」。,27.山雷頤,内側には物を養う（山雷頤）象があります。誠実さ（中孚）とは、相手を心から養い、育もうとする気持ちの現れです。,62.雷山小過,誠実さを計る。他に心があれば乱れる。真心が安定しないと、少しやり過ぎる（小過）くらいの失敗を招きます。,62.雷山小過,鶴が木陰で鳴き、その子がこれに和す。私によい杯がある。お前と共にこれを尽くそう。誠実さは、少し離れていても（小過）、必ず相手に伝わります。,10.天沢履,敵を得て、ある時は太鼓を打ち、ある時はやめ、ある時は泣き、ある時は歌う。誠実さが乱れ、危険な道（履）に迷い込んでいます。,41.山沢損,月が満月になろうとする。馬の片方がいなくなる。問題ない。誠実であれば、何かを損なう（損）ことがあっても、いずれ満たされます。,60.水沢節,鶏を持っている。正しくても危うい。誠実そうに見えても、その行動が節度（節）を欠いていれば、危険が伴います。,59.風水渙,鶏が天に昇る。正しくても凶。誠実さが現実離れしていると、その力は散漫（渙）になり、実を結びません。,"真心, 信頼, 共感",偽りのない誠実な心が、人々の信頼を得て、物事を成し遂げる。,信頼されている安心感、一体感。しかし、その真心が相手に伝わらないことへの悲しさや、裏切られることへの恐れ,表面的なものではなく、心からの誠実さで人と接する。言行を一致させ、約束を守る,信頼できるパートナー、家族、親友,,,
62,雷山小過,61. 風沢中孚,61. 風沢中孚,風沢中孚（真心）と対。「異常事態」の裏側には、本来あるべき「真心」による調和がある。,風沢中孚（誠実）と対。少しの「行き過ぎ」や「小さな過ち」の対極は、内面から溢れる「誠実」さ。,28.沢風大過,内側には大きなものが過ぎる（沢風大過）象があります。少しやり過ぎる（小過）ことと、常軌を逸する（大過）ことは、表裏一体です。,61.風沢中孚,鳥が飛んで、凶を招く。少しやり過ぎるくらいなら良いが、度を越して誠実さ（中孚）を失えば、災いを招きます。,61.風沢中孚,祖母に会い、臣下に会わない。君主を通り過ぎ、その臣下に会う。問題ない。少しやり過ぎても、真心（中孚）があれば、道理にかなった行動と見なされます。,15.地山謙,防備を固めなければ、後ろからこれを討たれるかもしれない。凶。少しの油断（小過）が、謙虚（謙）さを失わせ、足元をすくわれる原因になります。,31.沢山咸,穴の中で出会う。問題ない。少しやり過ぎても、相手に感応（咸）させることができます。,56.火山旅,雲が行くが、雨は降らない。西の郊外から来る。公が、かの穴にいる者を射止める。少しやり過ぎるくらいの行動が、旅（旅）の途中で成果をもたらします。,55.雷火豊,雲に会い、雨は降らない。西の郊外から来る。鳥が飛んでいくのを網で捕らえる。少しやり過ぎた結果、豊かな（豊）はずの獲物を逃してしまいます。,"異常事態, 危機, バランス",バランスを欠いた危機的状況。大きな行動は慎み、細やかな配慮が求められる。,焦り、不安、危機感。しかし、まだ取り返しがつくという認識,大きな行動は慎む。細やかな配慮と謙虚な姿勢を保ち、状況を悪化させないことに集中する,リスクマネージャー、客観的なアドバイザー,,,
63,水火既済,64. 火水未済,64. 火水未済,火水未済（未完成）と対。全ての物事は、「完成」すれば、必ず「未完成」へと反転していく。,火水未済（未完成）と対。全てが整った「完成」の対極は、秩序がなく、まだ何も定まらない「未完成」。,64.火水未済,内側には物事が未完成（火水未済）である象が隠されています。物事が完成（既済）したように見えても、次なる未完成の段階がすでに始まっています。,64.火水未済,その車輪を引き、その尾を濡らす。問題ない。完成の直後、勢い余って進むと、未完成（未済）の状態に逆戻りします。,64.火水未済,婦人がその髪飾りを失う。追いかけるな。七日もすれば得られる。完成した状態を守ろうと焦ると、かえって大切なものを失います。未完成（未済）の時を待つべきです。,49.沢火革,高宗が鬼方国を討伐し、三年かかってこれに勝った。小人は用いるな。大きな完成のためには、長期的な改革（革）の視点が必要です。,36.地火明夷,東の隣人が牛を殺して祭祀を行うも、西の隣人の質素な祭祀ほどの福を受けられない。完成したからと油断すれば、明知が傷つけられる（明夷）時よりも悪い結果になります。,37.風火家人,東の隣人が牛を殺して祭祀を行うも、西の隣人の質素な祭祀ほどの福を受けられない。完成を祝うに、豪華さより家庭（家人）的な真心が大切です。,39.水山蹇,頭を濡らす。危うい。完成したと油断し、さらに進もうとすると、困難（蹇）な状況に陥ります。,"完成, 調和, 維持",物事が完璧に完成した状態。しかし、その完成をいかに維持し、油断しないかが問われる。,達成感、安堵感。しかし、この状態を維持することの難しさや、次の衰退への警戒,完成後の乱れを警戒する。慢心せず、常に改善を続け、次の変化に備える,保守管理者、品質管理者,,,
64,火水未済,63. 水火既済,63. 水火既済,水火既済（完成）と対。「未完成」の先には、常に「完成」という目標がある。,水火既済（完成）と対。全てが混沌とした「未完成」の対極は、全てのものが定位置にある「完成」。,63.水火既済,内側には物事が完成（水火既済）した象があります。物事が未完成（未済）なのは、内なる完成へのエネルギーを原動力としているからです。,63.水火既済,その尾を濡らす。恥ずかしい。未完成のまま川を渡ろうとすれば、完成（既済）を目前にして失敗します。,63.水火既済,その車輪を引く。正しくあれば吉。未完成の状況で進むのを止めれば、完成（既済）への道を守れます。,4.山水蒙,未だ済まず。進めば凶。大きな川を渡るのが良い。未完成な状況で進むのは、蒙昧（蒙）な者の行いです。,6.天水訟,正しくあれば吉。後悔は消える。震の武力で鬼方国を討伐し、三年で大手柄を立て、大きな国を賞として与えられる。未完成を完成させるには、争訟（訟）を乗り越える力が必要です。,40.雷水解,誠実さがあれば、酒を飲んでいても問題ない。未完成な状況でも、信じて待てば、困難は解消（解）されます。,38.火沢睽,誠実さがあり、酒を飲む。問題ない。頭を濡らす。誠実さがあるが、度を過ごしている。未完成の状況で羽目を外しすぎると、不和（睽）を招き、恥をかきます。,"未完成, 継続, 希望, 循環",物事がまだ完成していない状態。終わりは新たな始まりであり、希望と継続的な努力がテーマ。,期待と不安が入り混じる。可能性を感じるが、同時に何から手をつけていいかわからない混乱,焦らず、一つずつ物事を整理する。慎重に計画を立て、小さな一歩から始める,プロジェクトマネージャー、メンター,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
関連卦データの解説,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. 互卦（ごか）：隠されている暗示・物語の核心,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
解説: 「互卦」とは、本卦（もとの卦）の内側にある2爻・3爻・4爻・5爻の4本の爻を取り出して作る、もう一つの卦です。これは、その状況の**「内部に隠された本質」や「潜在的な可能性」「物語の核心部分」を象徴します。 表面的には見えない、登場人物の深層心理や、組織が抱える根本的な課題、あるいは「この後、このような状況に発展していく」という未来の暗示**などを読み解くのに使えます。,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
コンテンツでの活用例:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
「一見、平和に見える地天泰ですが、その互卦は雷沢帰妹（不自然な結合）です。これは、平和な状況の内部に、すでに秩序の乱れや不和の種が隠されていることを示唆しています…」,,,,,,,,,,,,,,,,,,,,,,,,,,,
「このキャラクターの行動の核心には、どんな無意識の動機が隠されているのか？それを互卦で探ります」,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. 綜卦（そうか）／賓卦（ひんか）：客観的な視点・相手の立場,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
解説: 「綜卦」とは、本卦を上下にひっくり返してできる卦です。「裏卦（うらが）」とも呼ばれ、物事を**「裏側から見る」「相手の立場から見る」「時間を逆行させて見る」**ことを意味します。,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
コンテンツでの活用例:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
キャラクターの対比: 「主人公が水天需（待つ）の状況にある時、その綜卦である天水訟（争い）は、彼を待たせているライバルの状況を示しているのかもしれません」,,,,,,,,,,,,,,,,,,,,,,,,,,,
状況の二面性: 「この『成功』の物語（本卦）の裏側には、常に『失敗』の物語（綜卦）が隣り合わせに存在します」,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. 錯卦（さっか）／裏卦（うらか）：対極の世界・アンチテーゼ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
解説: 「錯卦」とは、本卦の全ての爻を、陰（--）は陽（―）に、陽（―）は陰（--）に、一つずつ反転させてできる卦です。その状況とは**「全く逆の前提条件」や「対極の環境」**を示します。その状況を成り立たせている、根源的な課題やアンチテーゼを浮き彫りにします。,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
コンテンツでの活用例:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
テーマの深掘り: 「なぜこの物語は『困難（坎為水）』に満ちているのか？その錯卦である『光明（離為火）』が、この世界に決定的に欠けているからです」,,,,,,,,,,,,,,,,,,,,,,,,,,,
キャラクターの課題: 「このキャラクターが持つ『創造性（乾為天）』が真に輝くためには、その錯卦である『受容性（坤為地）』を学ぶ必要がありました」,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. 之卦（しか）／変卦（へんか）：今後の可能性・IFの世界,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
解説: これは、「もし、本卦の特定の一つの爻だけが変化したら、次にどんな状況へ移行するか」を示すものです。物語における**「ターニングポイント」や「IF（もしも）の世界線」**を分析するのに最適です。各爻は、状況の異なる段階や、異なる立場の人々を象徴します。,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
コンテンツでの活用例:,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
初爻変: 物語の**「始まりの一歩」**が違っていたら？,,,,,,,,,,,,,,,,,,,,,,,,,,,
二爻変: 現場の**「キーパーソン」**の心情や行動が変わったら？,,,,,,,,,,,,,,,,,,,,,,,,,,,
三爻変: 過渡期における**「葛藤や焦り」**が、別の決断に繋がっていたら？,,,,,,,,,,,,,,,,,,,,,,,,,,,
四爻変: リーダーを補佐する**「側近」**の動きが違っていたら？,,,,,,,,,,,,,,,,,,,,,,,,,,,
五爻変: **「リーダー」**の決断そのものが、もし逆だったら？,,,,,,,,,,,,,,,,,,,,,,,,,,,
上爻変: 物語の**「結末」**や、その後の身の振り方が違っていたら？,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
といったように、「あの名シーンで、もし主人公が**別の選択（爻変）**をしていたら、物語はどんな結末（之卦）を迎えていたのか？易経で占ってみた！」というような、非常に面白い考察が可能です。,,,,,,,,,,,,,,,,,,,,,,,,,,,