爻名,通し番号,卦番号,爻,爻辞,現代解釈の要約,パターンの分類,点数,キーワード,親となる卦,キーワードタグ,S1_基本スコア,S2_ポテンシャル,S3_安定性スコア,S4_リスク,S5_主体性,S6_変動性スコア,S7_総合評価スコア,論理キーワードタグ
沢雷随 初九,99,17,初九,官有渝。貞吉。出門交有功。 （かんいかわることあり。ていきち。もんをいでてまじわればこうあり。） 意味：役職や方針に変化がある。正しくしていれば吉。門を出て交流すれば功績がある。,時代の変化の兆しをいち早く察知する。自分の殻に閉じこもらず、積極的に外部と交流し、情報収集を行うことで、変化の波に乗り、成功を収めることができる。,勝ちパターン,1,"変化への対応, 交流, 積極性",沢雷随,"交流, 吉, 変化への対応, 積極性",75,40,36,55,能動,68,32,"状況:黎明期, 力学:下剋上リスク, 力学:協力者なし, 心理:正道堅持"
沢雷随 六二,100,17,六二,繋小子。失丈夫。 （しょうしにかかる。じょうぶをうしなう。） 意味：子供に執着し、立派な者を失う。,変化の中で、取るに足らないことや、目先の未熟な利益（小子）に固執した結果、本当に価値のあるものや、尊敬すべきパートナー（丈夫）を失う、という判断の誤り。,破滅パターン,-2,"判断ミス, 優先順位, 損失",沢雷随,"優先順位, 判断ミス, 損失",33,55,76,25,受動,20,70,"状況:安定期, 力学:協力者あり"
沢雷随 六三,101,17,六三,繋丈夫。失小子。随有求得。… （じょうぶにかかる。しょうしをうしなう。…したがいて、もとめてうるところあり。） 意味：立派な者に執着し、子供を失う。追随すれば求めるものを得られる。,些細なこと（小子）を捨ててでも、真に価値のある指導者や、正しい理念（丈夫）に追随する賢明な選択。これにより、最終的に求める成果を得られる。,大勝ちパターン,2,"賢明な選択, 本質, 指導者",沢雷随,"指導者, 本質, 賢明な選択",75,25,32,55,受動,52,24,"状況:移行期, 力学:協力者なし, 力学:順当な力関係"
沢雷随 九四,102,17,九四,随有獲。貞凶。有孚在道。以明。何咎。 （したがいてうるところあり。ていはきょう。まことありてみちにあれば、もってあきらかにす。なんのとがあらん。） 意味：追随して得るものがあるが、正しくなければ凶。道に真心があれば、咎めはない。,追随することで利益を得るが、その動機が不純であったり、私利私欲であったりすると、後に大きな災いを招く。常に誠実さと公正さが問われる、危険な成功。,やや破滅パターン,-1,"危険な成功, 動機, 公正さ",沢雷随,"公正さ, 凶, 動機, 危険な成功",33,40,40,55,能動,44,34,"状況:変革期, 力学:協力者なし, 心理:正道堅持"
沢雷随 九五,103,17,九五,孚于嘉。吉。 （かにまことあり。きち。） 意味：素晴らしいものに真心をもって追随する。吉。,特定の人物や利益ではなく、正義や美徳といった、普遍的で素晴らしい理念（嘉）に、真心をもって従う。最高の追随の形であり、大いに吉。,大勝ちパターン,2,"理念, 誠実, 美徳",沢雷随,"吉, 理念, 美徳, 誠実",100,75,64,45,能動,36,64,"状況:絶頂期, 力学:下剋上リスク, 力学:協力者あり"
沢雷随 上六,104,17,上六,拘繋之。乃従維之。… （こうけいし。すなわちしたがいこれをひく。…） 意味：引き止められ、繋がれる。それに従い、さらに縛られる。,変化を拒否し、過去の成功体験や古い慣習に固執する。あるいは、特定の人物に盲目的に従い続け、主体性を失い、完全に行き詰まってしまう。,破滅パターン,-2,"盲従, 固執, 行き詰まり",沢雷随,"固執, 盲従, 行き詰まり",17,25,32,55,受動,56,24,"状況:停滞期, 状況:終極期, 力学:協力者なし"
山風蠱 初六,105,18,初六,幹父之蠱。有子。考无咎。厲終吉。 （ちちのこをただす。こあり。こうにとがなし。あやうけれど、おわりにきち。） 意味：父の腐敗を正す。子がいれば、父に咎はない。危ういが最終的には吉。,腐敗や問題が発生した初期段階。先代や過去の問題を、責任感を持って引き受け、解決に乗り出す。困難で危うい任務だが、その志と行動は正しく、最終的には良い結果に繋がる。,勝ちパターン,1,"問題解決, 責任感, 改革の始まり",山風蠱,"リスクあり, 吉, 問題なし, 問題解決, 改革の始まり, 責任感",67,25,48,50,受動,44,34,"状況:困窮状態, 状況:黎明期, 力学:協力者なし, 力学:順当な力関係"
山風蠱 九二,106,18,九二,幹母之蠱。不可貞。 （ははのこをただす。ていなるべからず。） 意味：母の腐敗を正す。固く守りすぎてはいけない。,感情的、あるいは構造的に根深い問題に対処する。力ずくで厳しく改革しようとすると、かえって反発を招き、失敗する。柔軟で、穏健なアプローチが必要とされる。,停滞・中立パターン,0,"柔軟性, 感情的な問題, 慎重",山風蠱,"感情的な問題, 慎重, 柔軟性",58,70,68,25,能動,8,72,"状況:変革期, 状況:安定期, 力学:協力者あり, 心理:正道堅持"
山風蠱 九三,107,18,九三,幹父之蠱。小有悔。无大咎。 （ちちのこをただす。すこしくいあり。おおきなとがなし。） 意味：父の腐敗を正す。少し悔いがあるが、大きな咎めはない。,問題解決のために、少し性急すぎたり、やり方が強引すぎたりする。そのため、多少の後悔や小さな失敗は伴うが、改革自体は前に進み、致命的な問題にはならない。,停滞・中立パターン,0,"やり過ぎ, 小さな失敗, 軌道修正",山風蠱,"やり過ぎ, 小さな失敗, 軌道修正",50,40,20,85,能動,76,12,"状況:変革期, 状況:移行期, 力学:下剋上リスク, 力学:協力者なし, 心理:内省"
山風蠱 六四,108,18,六四,裕父之蠱。往見吝。 （ちちのこをゆるやかにす。ゆけばりんをみる。） 意味：父の腐敗を寛大に見過ごす。そのまま行けば恥を見る。,解決すべき問題を見て見ぬふりをし、放置する。現状維持を選び、改革を怠ることで、いずれ状況はさらに悪化し、大きな恥をかくことになる。,やや破滅パターン,-1,"問題の放置, 怠慢, 悪化",山風蠱,"問題の放置, 怠慢, 悪化",42,25,48,45,受動,56,36,"状況:変革期, 力学:協力者なし"
山風蠱 六五,109,18,六五,幹父之蠱。用誉。 （ちちのこをただす。もってほまれあり。） 意味：父の腐敗を正す。名誉を得る。,困難な改革を見事に成し遂げ、組織や家を立て直す。その能力と功績が高く評価され、周囲から大きな名誉と尊敬を得る、理想的な問題解決。,大勝ちパターン,2,"見事な解決, 功績, 名誉",山風蠱,"功績, 名誉, 見事な解決",92,60,76,25,受動,12,72,"状況:困窮状態, 状況:変革期, 状況:絶頂期, 力学:協力者あり, 力学:順当な力関係"
山風蠱 上九,110,18,上九,不事王侯。高尚其事。 （おうこうにつかえず。そのことをこうしょうにす。） 意味：王侯に仕えず、自らの事を高尚にする。,全ての問題を解決し、その功績によって得られる地位や名誉に固執しない。俗世間から一歩退き、自らの精神性を高めるという、最も高潔な境地。,大勝ちパターン,2,"超越, 隠遁, 精神的充実",山風蠱,"精神的充実, 超越, 隠遁",75,40,24,55,能動,56,26,"状況:終極期, 力学:協力者なし"
地沢臨 初九,111,19,初九,咸臨。貞吉。 （かんりん。ていきち。） 意味：（皆で）感じ合って臨む。正しくしていれば吉。,物事の始まりにおいて、関係者全員が心を一つにし、誠実な気持ちで協力し合う。その公正な姿勢とチームワークが、幸先の良いスタートを切らせる。,勝ちパターン,1,"協力, 始まり, 誠実",地沢臨,"協力, 吉, 始まり, 誠実",75,55,60,25,能動,28,62,"状況:黎明期, 力学:協力者あり, 心理:正道堅持"
地沢臨 九二,112,19,九二,咸臨。吉无不利。 （かんりん。きちにしてふりなきなし。） 意味：（皆で）感じ合って臨む。吉であり、利益にならないことは何もない。,協力関係がさらに深まり、信頼が完全に確立されている。何をやってもうまくいく、絶好調の時期。勢いがあり、大きな成果が期待できる。,大勝ちパターン,2,"絶好調, 成功, チームワーク",地沢臨,"チームワーク, 吉, 成功, 絶好調",92,80,56,45,能動,36,62,"状況:安定期, 力学:下剋上リスク, 力学:協力者あり"
地沢臨 六三,113,19,六三,甘臨。无攸利。既憂之。无咎。 （かんりん。りするところなし。すでにこれをうれう。とがなし。） 意味：甘い言葉で臨む。利するところがない。すでにこれを憂えれば、咎めなし。,実力を伴わない甘い言葉や、安易な迎合で人に臨もうとする。そのやり方では良い結果は得られないが、その過ちに気づき、反省すれば、大きな問題には至らない。,やや破滅パターン,-1,"甘い言葉, 不誠実, 軌道修正",地沢臨,"不誠実, 問題なし, 甘い言葉, 軌道修正",25,35,24,55,受動,60,24,"状況:移行期, 力学:協力者なし"
地沢臨 六四,114,19,六四,至臨。无咎。 （しりん。とがなし。） 意味：至り臨む。咎められることはない。,私心なく、誠実な態度で物事や人に対応する。その公正な姿勢が評価され、スムーズに事が進み、咎められることがない、安定した状態。,勝ちパターン,1,"誠実, 協調性, 信頼",地沢臨,"信頼, 協調性, 問題なし, 誠実",75,40,60,25,受動,44,56,"状況:変革期, 力学:協力者あり"
地沢臨 六五,115,19,六五,知臨。大君之宜。吉。 （ちりん。たいくんのぎ。きち。） 意味：知恵をもって臨む。偉大な君主の徳である。吉。,リーダーが、力だけでなく、深い知恵と洞察力をもって組織や人々を導く。その賢明なリーダーシップは、周囲から尊敬され、大きな成功をもたらす。,大勝ちパターン,2,"賢明なリーダー, 知恵, 徳",地沢臨,"吉, 徳, 知恵, 賢明なリーダー",92,60,68,25,受動,20,68,"状況:絶頂期, 力学:協力者あり"
地沢臨 上六,116,19,上六,敦臨。吉无咎。 （とんりん。きちにしてとがなし。） 意味：篤く臨む。吉にして咎められることはない。,全てを成し遂げた後も、誠実で手厚い態度で人々と接する。引退した賢者が、後進を温かく見守るような、徳の高い状態。,勝ちパターン,1,"寛大, 貢献, メンター",地沢臨,"メンター, 吉, 問題なし, 寛大, 貢献",67,25,32,55,受動,56,24,"状況:終極期, 力学:協力者なし"
風地観 初六,117,20,初六,童観。小人无咎。君子吝。 （どうかん。しょうじんはとがなし。くんしはりん。） 意味：子供のように見る。小人には咎はないが、君子には恥。,物事を表面的なレベルでしか見ることができず、本質を理解できない未熟な視点。責任ある立場の者がこの状態にあるのは、恥ずべきこと。,やや破滅パターン,-1,"未熟, 表面的な視点, 視野の狭さ",風地観,"問題なし, 未熟, 表面的な視点, 視野の狭さ",33,25,40,45,受動,52,32,"状況:黎明期, 力学:協力者なし"
風地観 六二,118,20,六二,闚観。利女貞。 （きかん。じょのていによろし。） 意味：門の隙間から覗き見る。女性が正しくしていれば良い。,外部から、あるいは限定された情報源からしか物事を観察できていない状態。全体像を把握できていないため、重要な判断を下すには不十分。,停滞・中立パターン,0,"限定的な視野, 外部からの観察, 情報不足",風地観,"外部からの観察, 情報不足, 限定的な視野",67,65,76,25,受動,8,74,"状況:安定期, 力学:協力者あり, 心理:正道堅持"
風地観 六三,119,20,六三,観我生。進退。 （わがせいをみる。しんたい。） 意味：自分の生き様を見る。進むか退くか。,これまでの自分の行動や現在の状況を客観的に見つめ直し、このまま進むべきか、方針転換すべきかの、重大な決断を迫られている自己反省の時。,停滞・中立パターン,0,"自己分析, 内省, 決断の時",風地観,"内省, 決断の時, 自己分析",42,40,36,45,受動,48,36,"状況:移行期, 力学:協力者あり"
風地観 六四,120,20,六四,観国之光。利用賓于王。 （くにのひかりをみる。おうにひんたるをもちうるによろし。） 意味：その国の光を見る。王の賓客となるのが良い。,優れた組織や成功事例（国之光）を観察し、そこから学ぶ段階。その姿勢や能力が認められ、影響力を持つ人物（王）から招かれ、活躍の機会を得る。,勝ちパターン,1,"学習, ベンチマーキング, 抜擢",風地観,"ベンチマーキング, 学習, 抜擢",75,35,56,35,受動,48,48,"状況:変革期, 力学:協力者なし, 力学:順当な力関係"
風地観 九五,121,20,九五,観我生。君子无咎。 （わがせいをみる。くんしはとがなし。） 意味：（君主が）自らの生き様を見せる。君子であれば咎められない。（※解釈テキストでは「観其生」）,リーダーの行動や言動が、常に周囲から厳しく観察されている。公正で模範となる振る舞いを続けることで、衆からの信頼を得て、咎められることがない。,大勝ちパターン,2,"リーダーシップ, 模範, 透明性",風地観,"リーダーシップ, 問題なし, 模範, 透明性",100,75,76,25,能動,20,78,"状況:絶頂期, 力学:協力者あり"
風地観 上九,122,20,上九,観其生。君子无咎。 （そのせいをみる。くんしはとがなし。） 意味：（己の）生き様を見る。君子であれば咎められない。,外的な現象だけでなく、自身の存在意義や人生の目的といった、内面の真実を深く洞察する、最も高次の観察。精神的に成熟し、自己と世界が調和した境地。,大勝ちパターン,2,"洞察, 精神的成熟, 哲学",風地観,"哲学, 問題なし, 洞察, 精神的成熟",75,55,36,45,能動,44,42,"状況:終極期, 力学:協力者あり"
火雷噬嗑 初九,123,21,初九,屨校滅趾。无咎。 （くこうめつし。とがなし。） 意味：足枷で足の指を隠す。咎めはない。,問題がまだ小さいうちに、軽い注意や警告で、その芽を摘み取る。早期に正しく対処することで、大きな問題への発展を防ぐ、賢明な一手。,勝ちパターン,1,"早期是正, 規律, 未然防止",火雷噬嗑,"問題なし, 早期是正, 未然防止, 規律",75,55,48,45,能動,56,48,"状況:黎明期, 力学:下剋上リスク, 力学:協力者あり"
火雷噬嗑 六二,124,21,六二,噬膚滅鼻。无咎。 （ぜいふめつび。とがなし。） 意味：皮を噛んで鼻まで傷つける。咎めはない。,比較的簡単な問題を解決するが、少しやり方が厳しすぎる。多少の行き過ぎはあっても、問題自体は解決されるため、大きな咎めはない。,停滞・中立パターン,0,"やり過ぎ, 強引, 問題解決",火雷噬嗑,"やり過ぎ, 問題なし, 問題解決, 強引",67,40,72,35,受動,24,58,"状況:安定期, 力学:協力者なし, 力学:順当な力関係"
火雷噬嗑 六三,125,21,六三,噬腊肉。遇毒。小吝。无咎。 （ぜいろうにく。どくにあう。しょうりん。とがなし。） 意味：干し肉を噛む。毒に遭う。少し悔いがあるが、咎めはない。,複雑で困難な問題に直面し、解決の過程で予期せぬ反発や困難（毒）に遭う。完璧な解決とはいかず、多少の後悔は残るが、何とか乗り切れる。,停滞・中立パターン,0,"困難な問題, 抵抗, 忍耐",火雷噬嗑,"問題なし, 困難な問題, 忍耐, 抵抗",50,40,20,85,能動,76,12,"状況:困窮状態, 状況:移行期, 力学:下剋上リスク, 力学:協力者なし, 心理:内省"
火雷噬嗑 九四,126,21,九四,噬乾胏。得金矢。利艱貞。吉。 （ぜいかんし。きんしをう。かんにしてていなるによろし。きち。） 意味：骨付きの干し肉を噛む。金の矢を得る。困難だが正しくして吉。,最も困難で根深い問題に、強力な権限や決定的な手段（金矢）を用いて立ち向かう。正義を貫けば、この最大の難関を突破し、成功を収めることができる。,大勝ちパターン,2,"難関突破, 権威, 決断",火雷噬嗑,"吉, 権威, 決断, 難関突破",92,50,60,25,受動,32,60,"状況:困窮状態, 状況:変革期, 力学:協力者あり, 心理:正道堅持"
火雷噬嗑 六五,127,21,六五,噬乾肉。得黄金。貞厲无咎。 （ぜいかんにく。おうごんをう。ていあやうけれどもとがなし。） 意味：干し肉を噛む。黄金を得る。正しくしていれば危ういが、咎めなし。,問題の核心に到達し、それを解決することで、大きな価値（黄金）を得る。成功は目前だが、まだ危険な状況。慎重さを保てば、咎められることはない。,勝ちパターン,1,"核心, 成果, 警戒",火雷噬嗑,"リスクあり, 問題なし, 成果, 核心, 警戒",75,45,64,50,受動,12,50,"状況:絶頂期, 力学:協力者なし, 力学:順当な力関係, 心理:慎重, 心理:正道堅持"
火雷噬嗑 上九,128,21,上九,何校滅耳。凶。 （かこうめつじ。きょう。） 意味：首枷をはめられ、耳まで隠れる。凶。,警告を無視し、道理に反した者が、最終的に厳しい裁きを受ける。もはや弁明の余地もなく、完全に孤立し、破滅する、最悪の結末。,破滅パターン,-2,"懲罰, 破滅, 孤立",火雷噬嗑,"凶, 孤立, 懲罰, 破滅",8,40,24,75,能動,56,18,"状況:終極期, 力学:協力者なし"
山火賁 初九,129,22,初九,賁其趾。舎車而徒。 （そのしをかざる。くるまをすててとす。） 意味：その足元を飾る。車を捨てて徒歩で行く。,新しいことの始まり。派手な手段（車）に頼らず、まずは足元（基礎）を固め、地道な努力（徒歩）から始める。その誠実な姿勢が、咎めなき良いスタートを切らせる。,勝ちパターン,1,"基礎固め, 謙虚, 誠実",山火賁,"基礎固め, 誠実, 謙虚",75,40,36,55,能動,68,32,"状況:黎明期, 力学:下剋上リスク, 力学:協力者なし"
山火賁 六二,130,22,六二,賁其鬚。 （そのしゅをかざる。） 意味：そのヒゲを飾る。,自分の功績を主張せず、上位者（あご）を引き立てる補佐役（ヒゲ）に徹する。全体の調和を重んじる、従順で正しい在り方。,停滞・中立パターン,0,"補佐役, 協調性, 縁の下の力持ち",山火賁,"協調性, 縁の下の力持ち, 補佐役",67,40,64,35,受動,32,54,"状況:安定期, 力学:協力者なし"
山火賁 九三,131,22,九三,賁如濡如。永貞吉。 （ひじょじゅじょ。えいていきち。） 意味：飾りが濡れているようだ。永遠に正しければ吉。,見せかけの華やかさに溺れ、実質が伴わない危うい状態。しかし、その中でも誠実さや正しい道（永貞）を保ち続ければ、最終的には吉となる。,停滞・中立パターン,0,"虚飾, 見せかけ, 本質の維持",山火賁,"吉, 本質の維持, 虚飾, 見せかけ",42,40,44,45,受動,28,40,"状況:移行期, 力学:協力者あり, 力学:順当な力関係, 心理:正道堅持"
山火賁 六四,132,22,六四,賁如皤如。白馬翰如。匪寇婚媾。 （ひじょはくじょ。はくばかんじょ。こうにあらずこんこう。） 意味：飾りが白く質素。白馬が飛ぶように来る。賊ではなく、縁組である。,派手な装飾を捨て、質素で誠実な態度（白賁）で臨む。その純粋さが、疑いを晴らし、真の協力者（婚媾）を引き寄せる。,勝ちパターン,1,"シンプル, 誠実, 信頼",山火賁,"シンプル, 信頼, 誠実",67,40,28,65,能動,84,24,"状況:変革期, 力学:下剋上リスク, 力学:協力者なし"
山火賁 六五,133,22,六五,賁于丘園。束帛戔戔。吝。終吉。 （きゅうえんにかざる。そくはくせんせん。りん。おわりにきち。） 意味：丘や庭園で飾る。贈り物の絹はわずか。恥ずかしいが、最終的には吉。,物質的な豊かさ（束帛）よりも、精神的な豊かさや、賢者との交流（丘園）を重んじる。見栄を捨て、本質を追求することで、最終的に大きな幸運を得る。,勝ちパターン,1,"質素, 精神的豊かさ, 本質主義",山火賁,"吉, 本質主義, 精神的豊かさ, 質素",75,45,64,45,受動,24,52,"状況:絶頂期, 力学:協力者なし, 力学:順当な力関係"
山火賁 上九,134,22,上九,白賁。无咎。 （はくひ。とがなし。） 意味：白く飾る（飾らない）。咎められることはない。,全ての飾りを削ぎ落とし、本質そのもので勝負する、飾りの究極の形。内面の徳や実力が完成されており、もはや飾りを必要としない、最高の状態。,大勝ちパターン,2,"完成, 本質, シンプル, 洗練",山火賁,"シンプル, 問題なし, 完成, 本質, 洗練",75,55,36,45,能動,44,42,"状況:終極期, 力学:協力者あり"
山地剝 初六,135,23,初六,剝牀以足。蔑貞凶。 （はくしょういそく。ていをめっすればきょう。） 意味：寝台の足元が剥がれる。正しくても凶。,衰退の始まり。組織やシステムの土台から、問題が生じ始めている。この流れに逆らって正論を主張しても、聞き入れられず、事態は悪化する。,破滅パターン,-2,"衰退の始まり, 崩壊の兆し, 基礎の揺らぎ",山地剝,"凶, 基礎の揺らぎ, 崩壊の兆し, 衰退の始まり",17,25,40,55,受動,40,28,"状況:黎明期, 力学:協力者なし, 心理:正道堅持"
山地剝 六二,136,23,六二,剝牀以辨。蔑貞凶。 （はくしょういべん。ていをめっすればきょう。） 意味：寝台の縁まで剥がれる。正しくても凶。,問題がさらに進行し、より明確に表面化してくる。状況はさらに悪化しており、正しい行動を取ろうとしても、結果に繋がりにくい、厳しい状態。,破滅パターン,-2,"問題の進行, 悪化, 危機",山地剝,"凶, 危機, 問題の進行, 悪化",33,40,64,55,受動,20,46,"状況:安定期, 力学:協力者なし, 心理:正道堅持"
山地剝 六三,137,23,六三,剝之无咎。 （これをはくす。とがなし。） 意味：（自ら）剥がれ去る。咎められることはない。,状況の悪化が避けられないと悟り、抵抗するのをやめ、自らその状況や組織から身を引く。賢明な撤退であり、これ以上の咎めを免れる。,停滞・中立パターン,0,"撤退, 距離を置く, 損失回避",山地剝,"問題なし, 損失回避, 撤退, 距離を置く",42,40,36,45,受動,48,36,"状況:移行期, 力学:協力者あり"
山地剝 六四,138,23,六四,剝牀以膚。凶。 （はくしょういふ。きょう。） 意味：寝台の表面（皮）まで剥がれる。凶。,問題が、もはや隠し通せない核心部分にまで及び、危機が目前に迫っている。地位や財産など、自身にとって極めて重要なものを失う、非常に危険な状況。,破滅パターン,-2,"危機的状況, 深刻化, 痛みを伴う損失",山地剝,"凶, 危機的状況, 深刻化, 痛みを伴う損失",25,25,48,55,受動,56,32,"状況:変革期, 力学:協力者なし"
山地剝 六五,139,23,六五,貫魚。以宮人寵。无不利。 （うおをつらぬく。きゅうじんのちょうをもってす。ふりなきなし。） 意味：魚が連なるように（衆を率いる）。宮人が寵愛を受けるように。不利なことはない。,崩壊寸前の状況下で、唯一残った陽のリーダーが、残された人々（陰）を巧みに統率し、秩序を保つ。その賢明なリーダーシップにより、最悪の事態を回避する。,大勝ちパターン,2,"リーダーシップ, 危機管理, 結束",山地剝,"リーダーシップ, 危機管理, 結束",92,55,64,35,受動,24,60,"状況:絶頂期, 力学:協力者なし, 力学:順当な力関係"
山地剝 上九,140,23,上九,碩果不食。君子得輿。小人剝廬。 （せきかしょくせず。くんしはよをう。しょうじんはろをはくす。） 意味：大きな果実が残される。君子は輿を得る。小人は家を失う。,全てが剥がれ落ちた後、次世代への希望の種（碩果）だけが残る。正しく耐え抜いた賢者（君子）は人々の支持を得て再生し、悪しき者（小人）は全てを失う。,大勝ちパターン,2,"再生, 希望, 新たな始まり, 因果応報",山地剝,"再生, 因果応報, 希望, 新たな始まり",75,55,36,45,能動,44,42,"状況:終極期, 力学:協力者あり"
地雷復 初九,141,24,初九,不遠復。无祇悔。元吉。 （とおからずかえる。くいにいたるなし。げんきち。） 意味：遠くに行かないうちに引き返す。悔いることはない。大いに吉。,過ちに気づき、問題がまだ小さいうちに、すぐに正しい道へと引き返す。その迅速な軌道修正は、最高の幸運を招き、悔いを残さない。,大勝ちパターン,2,"早期修正, 軌道修正, 原点回帰",地雷復,"原点回帰, 吉, 早期修正, 軌道修正",92,55,48,55,能動,56,44,"状況:黎明期, 力学:下剋上リスク, 力学:協力者あり, 心理:内省"
地雷復 六二,142,24,六二,休復。吉。 （きゅうふく。きち。） 意味：安らかに回復する。吉。,周囲の善良な人々（初九の陽爻）に導かれ、無理せず、穏やかに正しい道へと回復していく。周囲との調和の中で、安らかに立ち直れる吉の時。,勝ちパターン,1,"穏やかな回復, 協力, 支援",地雷復,"協力, 吉, 支援, 穏やかな回復",83,40,64,35,受動,20,54,"状況:安定期, 力学:協力者なし"
地雷復 六三,143,24,六三,頻復。厲无咎。 （ひんぷく。あやうけれどとがなし。） 意味：繰り返し回復する。危ういが咎められることはない。,悪癖や間違いを直そうとするが、何度も挫折を繰り返してしまう。不安定で危うい状況だが、それでも回復しようと努力し続ける限り、大きな咎めはない。,停滞・中立パターン,0,"不安定, 挫折, 粘り強さ",地雷復,"リスクあり, 不安定, 問題なし, 挫折, 粘り強さ",42,25,24,70,受動,60,14,"状況:移行期, 力学:協力者なし"
地雷復 六四,144,24,六四,中行独復。 （ちゅうこうどくふく。） 意味：（周りから離れ）中道を行き、一人で回復する。,周囲がまだ過ちの中にいても、それに流されず、ただ一人、正しい道に戻ろうと努力する。孤独だが、その信念に基づいた行動は尊い。,勝ちパターン,1,"孤独な努力, 信念, 自律",地雷復,"信念, 孤独な努力, 自律",75,40,60,25,受動,44,56,"状況:変革期, 力学:協力者あり"
地雷復 六五,145,24,六五,敦復。无悔。 （とんぷく。くいなし。） 意味：篤く回復する。悔やむことはない。,表面的な改善ではなく、心から深く反省し、誠実に、そして根本的に自己を改める。その篤い姿勢が、一切の悔いを残さない、完璧な回復をもたらす。,大勝ちパターン,2,"誠実な反省, 根本的改善, 信頼回復",地雷復,"信頼回復, 根本的改善, 誠実な反省",92,45,56,45,受動,32,48,"状況:絶頂期, 力学:協力者なし, 心理:内省"
地雷復 上六,146,24,上六,迷復。凶。…十年不克征。 （めいふく。きょう。…じゅうねんかつことあたわず。） 意味：回復に迷う。凶。…十年も征伐に勝てない。,回復すべきチャンスがあったにもかかわらず、迷い、過ちを改めなかった者の末路。状況はさらに悪化し、長期にわたって再起不能なほどの、深刻な災いを招く。,破滅パターン,-2,"機会損失, 破滅, 長期停滞",地雷復,"凶, 機会損失, 破滅, 長期停滞",17,25,32,75,能動,68,16,"状況:終極期, 力学:協力者なし"
天雷无妄 初九,147,25,初九,无妄行。吉。 （むもうにしてゆく。きち。） 意味：偽りなく行動する。吉。,物事の始まりにおいて、私心や邪念なく、純粋で誠実な心で行動する。その正しい出発は、自ずと良い結果を引き寄せる。,勝ちパターン,1,"純粋, 誠実, 始まり",天雷无妄,"吉, 始まり, 純粋, 誠実",75,55,60,25,能動,52,62,"状況:黎明期, 力学:協力者あり"
